SEQ_NO,SCCNT_YM,ORIGIN_ID,REPRSNT_KWRD_NM,SRCHWRD_NM,SCCNT_VALUE,ORIGIN_CL_NM
38841,2023-10,997,2014 안양시민축제,안양시민축제,550,문화축제
38842,2023-10,992,2015 안양 시민축제,안양시민축제,550,문화축제
38843,2023-10,945,2016 대구약령시한방문화축제,대구약령시한방문화축제,90,문화축제
38844,2023-10,994,2016 안양 시민축제,안양시민축제,550,문화축제
38845,2023-10,996,2016 제5회 안양공공예술프로젝트,안양공공예술프로젝트,8230,문화축제
38846,2023-10,819,2016 평생학습 박람회 & 제6회 도서관책문화축제,평생학습박람회,1540,문화축제
38847,2023-10,283,2017 겨울공주군밤축제,겨울공주군밤축제,320,문화축제
38848,2023-10,952,2017 대구약령시한방문화축제,대구약령시한방문화축제,90,문화축제
38849,2023-10,1001,2017 안양 시민축제,안양시민축제,550,문화축제
38850,2023-10,628,2017 얼음나라화천 산천어축제,얼음나라화천산천어축제,1860,문화축제
38851,2023-10,4,2017 영동곶감축제,영동곶감축제,1700,문화축제
38852,2023-10,385,2017 음식 문화축제,음식문화축제,830,문화축제
38853,2023-10,289,2018 계룡산벚꽃축제,계룡산벚꽃축제,19,문화축제
38854,2023-10,287,2018 계룡산산신제,계룡산산신제,28,문화축제
38855,2023-10,286,2018 공주 석장리 세계구석기축제,공주석장리세계구석기축제,80,문화축제
38856,2023-10,962,2018 대구약령시한방문화축제,대구약령시한방문화축제,90,문화축제
38857,2023-10,1123,2018 무안황토갯벌축제,무안황토갯벌축제,60,문화축제
38858,2023-10,284,2018 백제어울마당,백제어울마당,27,문화축제
38859,2023-10,799,2018 안산 김홍도축제,안산김홍도축제,10690,문화축제
38860,2023-10,821,2018 안산시 평생학습 한마당 & 제8회 안산시도서관책문화축제,안산시평생학습한마당,68,문화축제
38861,2023-10,1005,2018 안양 시민축제,안양시민축제,550,문화축제
38862,2023-10,285,2018 웅진성수문병 근무교대식,웅진성수문병근무교대식,37,문화축제
38863,2023-10,386,2018 음식 문화축제,음식문화축제,830,문화축제
38864,2023-10,501,2018 전주비빔밥축제,전주비빔밥축제,51690,문화축제
38865,2023-10,463,2018 제2회 광진교 페스티벌,광진교페스티벌,13,문화축제
38866,2023-10,464,2018 제8회 광나루 어울마당,광나루어울마당,20,문화축제
38867,2023-10,444,2018 종로한복축제,종로한복축제,8330,문화축제
38868,2023-10,1094,2019 강남페스티벌,강남페스티벌,35560,문화축제
38869,2023-10,1093,2019 강남페스티벌 패션쇼,강남페스티벌패션쇼,50,문화축제
38870,2023-10,298,2019 계룡산벚꽃축제,계룡산벚꽃축제,19,문화축제
38871,2023-10,296,2019 계룡산산신제,계룡산산신제,28,문화축제
38872,2023-10,609,2019 고양가을꽃축제,고양가을꽃축제,58390,문화축제
38873,2023-10,597,2019 고양국제꽃박람회,고양국제꽃박람회,2040,문화축제
38874,2023-10,602,2019 고양행주문화제,고양행주문화제,140,문화축제
38875,2023-10,610,2019 고양호수예술축제,고양호수예술축제,36290,문화축제
38876,2023-10,295,2019 공주 석장리 구석기축제,공주석장리구석기축제,20,문화축제
38877,2023-10,306,2019 군포철쭉축제,군포철쭉축제,290,문화축제
38878,2023-10,223,2019 금정산성축제,금정산성축제,370,문화축제
38879,2023-10,333,2019 노은한마음축제,노은한마음축제,330,문화축제
38880,2023-10,975,2019 대구약령시한방문화축제,대구약령시한방문화축제,90,문화축제
38881,2023-10,873,2019 대전 서구힐링 아트페스티벌,대전서구힐링아트페스티벌,47550,문화축제
38882,2023-10,836,2019 대한민국 국향대전,대한민국국향대전,21970,문화축제
38883,2023-10,293,2019 백제어울마당,백제어울마당,27,문화축제
38884,2023-10,150,2019 보정역생활문화센터 <청춘파티  - 특별프로그램>,보정역생활문화센터,280,문화축제
38885,2023-10,889,2019 부평풍물대축제,부평풍물대축제,1930,문화축제
38886,2023-10,384,2019 수원등불축제,수원등불축제,80,문화축제
38887,2023-10,382,2019 수원연극축제,수원연극축제,100,문화축제
38888,2023-10,365,2019 순천 푸드앤아트 페스티벌,순천푸드앤아트페스티벌,32990,문화축제
38889,2023-10,1057,2019 안성맞춤 남사당 바우덕이축제,안성맞춤남사당바우덕이축제,32870,문화축제
38890,2023-10,1047,2019 양주 천만송이 천일홍 축제,양주천만송이천일홍축제,430,문화축제
38891,2023-10,980,2019 여주오곡나루축제(취소),여주오곡나루축제,41280,문화축제
38892,2023-10,36,2019 예천세계활축제,예천세계활축제,20,문화축제
