SEQ_NO,SCCNT_YM,ORIGIN_ID,REPRSNT_KWRD_NM,SRCHWRD_NM,SCCNT_VALUE,ORIGIN_CL_NM
41328,2024-01,1035,양록제,양록제,20,문화축제
41060,2024-01,997,2014 안양시민축제,안양시민축제,28,문화축제
41061,2024-01,992,2015 안양 시민축제,안양시민축제,28,문화축제
41062,2024-01,396,2016 대가야체험축제,대가야체험축제,17,문화축제
41063,2024-01,945,2016 대구약령시한방문화축제,대구약령시한방문화축제,50,문화축제
41064,2024-01,994,2016 안양 시민축제,안양시민축제,28,문화축제
41065,2024-01,996,2016 제5회 안양공공예술프로젝트,안양공공예술프로젝트,30,문화축제
41066,2024-01,819,2016 평생학습 박람회 & 제6회 도서관책문화축제,평생학습박람회,50,문화축제
41067,2024-01,283,2017 겨울공주군밤축제,겨울공주군밤축제,22330,문화축제
41068,2024-01,952,2017 대구약령시한방문화축제,대구약령시한방문화축제,50,문화축제
41069,2024-01,627,2017 물의나라화천 쪽배축제,물의나라화천쪽배축제,17,문화축제
41070,2024-01,1001,2017 안양 시민축제,안양시민축제,28,문화축제
41071,2024-01,998,2017 안양충훈벚꽃축제,안양충훈벚꽃축제,19,문화축제
41072,2024-01,628,2017 얼음나라화천 산천어축제,얼음나라화천산천어축제,246300,문화축제
41073,2024-01,4,2017 영동곶감축제,영동곶감축제,57820,문화축제
41074,2024-01,385,2017 음식 문화축제,음식문화축제,16,문화축제
41075,2024-01,289,2018 계룡산벚꽃축제,계룡산벚꽃축제,30,문화축제
41076,2024-01,287,2018 계룡산산신제,계룡산산신제,17,문화축제
41077,2024-01,286,2018 공주 석장리 세계구석기축제,공주석장리세계구석기축제,40,문화축제
41078,2024-01,962,2018 대구약령시한방문화축제,대구약령시한방문화축제,50,문화축제
41079,2024-01,1123,2018 무안황토갯벌축제,무안황토갯벌축제,20,문화축제
41080,2024-01,799,2018 안산 김홍도축제,안산김홍도축제,24,문화축제
41081,2024-01,1005,2018 안양 시민축제,안양시민축제,28,문화축제
41082,2024-01,1002,2018 안양충훈벚꽃축제,안양충훈벚꽃축제,19,문화축제
41083,2024-01,313,2018 연제고분판타지축제,연제고분판타지축제,40,문화축제
41084,2024-01,386,2018 음식 문화축제,음식문화축제,16,문화축제
41085,2024-01,501,2018 전주비빔밥축제,전주비빔밥축제,210,문화축제
41086,2024-01,1056,2018 정선고드름축제,정선고드름축제,180,문화축제
41087,2024-01,444,2018 종로한복축제,종로한복축제,60,문화축제
41088,2024-01,1094,2019 강남페스티벌,강남페스티벌,150,문화축제
41089,2024-01,298,2019 계룡산벚꽃축제,계룡산벚꽃축제,30,문화축제
41090,2024-01,296,2019 계룡산산신제,계룡산산신제,17,문화축제
41091,2024-01,609,2019 고양가을꽃축제,고양가을꽃축제,40,문화축제
41092,2024-01,597,2019 고양국제꽃박람회,고양국제꽃박람회,1440,문화축제
41093,2024-01,602,2019 고양행주문화제,고양행주문화제,70,문화축제
41094,2024-01,610,2019 고양호수예술축제,고양호수예술축제,80,문화축제
41095,2024-01,295,2019 공주 석장리 구석기축제,공주석장리구석기축제,18,문화축제
41096,2024-01,863,2019 곶자왈 반딧불이 축제,곶자왈반딧불이축제,15,문화축제
41097,2024-01,306,2019 군포철쭉축제,군포철쭉축제,210,문화축제
41098,2024-01,223,2019 금정산성축제,금정산성축제,80,문화축제
41099,2024-01,975,2019 대구약령시한방문화축제,대구약령시한방문화축제,50,문화축제
41100,2024-01,873,2019 대전 서구힐링 아트페스티벌,대전서구힐링아트페스티벌,80,문화축제
41101,2024-01,836,2019 대한민국 국향대전,대한민국국향대전,60,문화축제
41102,2024-01,150,2019 보정역생활문화센터 <청춘파티  - 특별프로그램>,보정역생활문화센터,110,문화축제
41103,2024-01,889,2019 부평풍물대축제,부평풍물대축제,200,문화축제
41104,2024-01,382,2019 수원연극축제,수원연극축제,330,문화축제
41105,2024-01,365,2019 순천 푸드앤아트 페스티벌,순천푸드앤아트페스티벌,80,문화축제
41106,2024-01,1057,2019 안성맞춤 남사당 바우덕이축제,안성맞춤남사당바우덕이축제,40,문화축제
41107,2024-01,980,2019 여주오곡나루축제(취소),여주오곡나루축제,190,문화축제
41108,2024-01,36,2019 예천세계활축제,예천세계활축제,17,문화축제
41109,2024-01,387,2019 음식 문화축제,음식문화축제,16,문화축제
41110,2024-01,54,2019 정읍벚꽃축제,정읍벚꽃축제,100,문화축제
41111,2024-01,462,2019 제8회 서울동화축제,서울동화축제,30,문화축제
41112,2024-01,864,2019 제주 메밀축제,제주메밀축제,19,문화축제
41113,2024-01,664,2019 제주들불축제,제주들불축제,1440,문화축제
41114,2024-01,665,2019 제주왕벚꽃축제,제주왕벚꽃축제,210,문화축제
41115,2024-01,252,2019 중딩영화제,중딩영화제,29,문화축제
41116,2024-01,400,2019 진안홍삼축제,진안홍삼축제,160,문화축제
41117,2024-01,292,2019겨울공주군밤축제,겨울공주군밤축제,22330,문화축제
41118,2024-01,513,2019년 울산 마두희 축제,울산마두희축제,30,문화축제
41119,2024-01,506,2019년 제15회 해운대모래축제,해운대모래축제,500,문화축제
41120,2024-01,487,2019청도반시축제,청도반시축제,90,문화축제
41121,2024-01,488,2019청도세계코미디아트페스티벌,청도세계코미디아트페스티벌,30,문화축제
41122,2024-01,485,2019청도소싸움축제,청도소싸움축제,220,문화축제
41123,2024-01,226,4.19혁명 국민문화제 2019,419혁명국민문화제,30,문화축제
41124,2024-01,910,「제34회 대구약령시 한방문화축제」,대구약령시한방문화축제,50,문화축제
41125,2024-01,917,「제35회 대구약령시 한방문화축제」,대구약령시한방문화축제,50,문화축제
