SEQ_NO,SCCNT_YM,ORIGIN_ID,REPRSNT_KWRD_NM,SRCHWRD_NM,SCCNT_VALUE,ORIGIN_CL_NM
26410,"2022-06","39","달맞이축제","달맞이축제",20,"문화축제"
25924,"2022-06","997","2014 안양시민축제","안양시민축제",280,"문화축제"
25927,"2022-06","992","2015 안양 시민축제","안양시민축제",280,"문화축제"
25930,"2022-06","396","2016 대가야체험축제","대가야체험축제",80,"문화축제"
25933,"2022-06","945","2016 대구약령시한방문화축제","대구약령시한방문화축제",140,"문화축제"
25936,"2022-06","994","2016 안양 시민축제","안양시민축제",280,"문화축제"
25939,"2022-06","996","2016 제5회 안양공공예술프로젝트","안양공공예술프로젝트",90,"문화축제"
25942,"2022-06","819","2016 평생학습 박람회 & 제6회 도서관책문화축제","평생학습박람회",90,"문화축제"
25945,"2022-06","283","2017 겨울공주군밤축제","겨울공주군밤축제",30,"문화축제"
25948,"2022-06","952","2017 대구약령시한방문화축제","대구약령시한방문화축제",140,"문화축제"
25951,"2022-06","627","2017 물의나라화천 쪽배축제","물의나라화천쪽배축제",150,"문화축제"
25954,"2022-06","1001","2017 안양 시민축제","안양시민축제",280,"문화축제"
25957,"2022-06","998","2017 안양충훈벚꽃축제","안양충훈벚꽃축제",15,"문화축제"
25960,"2022-06","628","2017 얼음나라화천 산천어축제","얼음나라화천산천어축제",80,"문화축제"
25963,"2022-06","4","2017 영동곶감축제","영동곶감축제",30,"문화축제"
25966,"2022-06","385","2017 음식 문화축제","음식문화축제",30,"문화축제"
25969,"2022-06","289","2018 계룡산벚꽃축제","계룡산벚꽃축제",15,"문화축제"
25972,"2022-06","287","2018 계룡산산신제","계룡산산신제",30,"문화축제"
25975,"2022-06","286","2018 공주 석장리 세계구석기축제","공주석장리세계구석기축제",180,"문화축제"
25978,"2022-06","962","2018 대구약령시한방문화축제","대구약령시한방문화축제",140,"문화축제"
25979,"2022-06","290","2018 마곡사토요무대","마곡사토요무대",21,"문화축제"
25982,"2022-06","1123","2018 무안황토갯벌축제","무안황토갯벌축제",350,"문화축제"
25983,"2022-06","284","2018 백제어울마당","백제어울마당",50,"문화축제"
25986,"2022-06","799","2018 안산 김홍도축제","안산김홍도축제",30,"문화축제"
25989,"2022-06","1005","2018 안양 시민축제","안양시민축제",280,"문화축제"
25992,"2022-06","1002","2018 안양충훈벚꽃축제","안양충훈벚꽃축제",15,"문화축제"
25994,"2022-06","313","2018 연제고분판타지축제","연제고분판타지축제",15,"문화축제"
25997,"2022-06","285","2018 웅진성수문병 근무교대식","웅진성수문병근무교대식",20,"문화축제"
26000,"2022-06","386","2018 음식 문화축제","음식문화축제",30,"문화축제"
26003,"2022-06","501","2018 전주비빔밥축제","전주비빔밥축제",820,"문화축제"
26004,"2022-06","1056","2018 정선고드름축제","정선고드름축제",10,"문화축제"
26008,"2022-06","444","2018 종로한복축제","종로한복축제",330,"문화축제"
26011,"2022-06","1094","2019 강남페스티벌","강남페스티벌",290,"문화축제"
26014,"2022-06","298","2019 계룡산벚꽃축제","계룡산벚꽃축제",15,"문화축제"
26017,"2022-06","296","2019 계룡산산신제","계룡산산신제",30,"문화축제"
26020,"2022-06","609","2019 고양가을꽃축제","고양가을꽃축제",100,"문화축제"
26023,"2022-06","597","2019 고양국제꽃박람회","고양국제꽃박람회",560,"문화축제"
26026,"2022-06","602","2019 고양행주문화제","고양행주문화제",10660,"문화축제"
26029,"2022-06","610","2019 고양호수예술축제","고양호수예술축제",180,"문화축제"
26032,"2022-06","295","2019 공주 석장리 구석기축제","공주석장리구석기축제",30,"문화축제"
26035,"2022-06","863","2019 곶자왈 반딧불이 축제","곶자왈반딧불이축제",580,"문화축제"
26038,"2022-06","306","2019 군포철쭉축제","군포철쭉축제",140,"문화축제"
26041,"2022-06","223","2019 금정산성축제","금정산성축제",19,"문화축제"
26044,"2022-06","975","2019 대구약령시한방문화축제","대구약령시한방문화축제",140,"문화축제"
26047,"2022-06","873","2019 대전 서구힐링 아트페스티벌","대전서구힐링아트페스티벌",210,"문화축제"
26050,"2022-06","836","2019 대한민국 국향대전","대한민국국향대전",30,"문화축제"
26051,"2022-06","329","2019 대한민국 온천대축제","대한민국온천대축제",17,"문화축제"
26053,"2022-06","121","2019 동작복지나눔축제","동작복지나눔축제",20,"문화축제"
26054,"2022-06","293","2019 백제어울마당","백제어울마당",50,"문화축제"
26057,"2022-06","862","2019 보목자리돔축제","보목자리돔축제",30,"문화축제"
26060,"2022-06","150","2019 보정역생활문화센터 <청춘파티  - 특별프로그램>","보정역생활문화센터",280,"문화축제"
26063,"2022-06","889","2019 부평풍물대축제","부평풍물대축제",900,"문화축제"
26066,"2022-06","859","2019 사려니숲 에코힐링 체험","사려니숲에코힐링체험",90,"문화축제"
26069,"2022-06","384","2019 수원등불축제","수원등불축제",13,"문화축제"
26072,"2022-06","382","2019 수원연극축제","수원연극축제",420,"문화축제"
26075,"2022-06","365","2019 순천 푸드앤아트 페스티벌","순천푸드앤아트페스티벌",110,"문화축제"
26079,"2022-06","1057","2019 안성맞춤 남사당 바우덕이축제","안성맞춤남사당바우덕이축제",25,"문화축제"
26082,"2022-06","1047","2019 양주 천만송이 천일홍 축제","양주천만송이천일홍축제",20,"문화축제"
26085,"2022-06","980","2019 여주오곡나루축제(취소)","여주오곡나루축제",230,"문화축제"
26088,"2022-06","36","2019 예천세계활축제","예천세계활축제",20,"문화축제"
26091,"2022-06","894","2019 오륙도 평화축제","오륙도평화축제",11,"문화축제"
26094,"2022-06","294","2019 웅진성수문병 근무교대식","웅진성수문병근무교대식",20,"문화축제"
26097,"2022-06","387","2019 음식 문화축제","음식문화축제",30,"문화축제"
26100,"2022-06","54","2019 정읍벚꽃축제","정읍벚꽃축제",26,"문화축제"
26103,"2022-06","462","2019 제8회 서울동화축제","서울동화축제",80,"문화축제"
26106,"2022-06","864","2019 제주 메밀축제","제주메밀축제",540,"문화축제"
26109,"2022-06","664","2019 제주들불축제","제주들불축제",880,"문화축제"
26112,"2022-06","665","2019 제주왕벚꽃축제","제주왕벚꽃축제",70,"문화축제"
26117,"2022-06","400","2019 진안홍삼축제","진안홍삼축제",310,"문화축제"
26120,"2022-06","518","2019 태화강 국제 재즈페스티벌","태화강국제재즈페스티벌",30,"문화축제"
26122,"2022-06","62","2019 하하페스티벌","하하페스티벌",18,"문화축제"
26125,"2022-06","292","2019겨울공주군밤축제","겨울공주군밤축제",30,"문화축제"
26127,"2022-06","189","2019계룡세계軍문화축제","계룡세계군문화축제",18,"문화축제"
26130,"2022-06","513","2019년 울산 마두희 축제","울산마두희축제",230,"문화축제"
26133,"2022-06","506","2019년 제15회 해운대모래축제","해운대모래축제",47300,"문화축제"
26134,"2022-06","514","2019년 한글문화예술제","한글문화예술제",17,"문화축제"
26136,"2022-06","867","2019년도 거문오름국제트레킹","거문오름국제트레킹",130,"문화축제"
26139,"2022-06","487","2019청도반시축제","청도반시축제",100,"문화축제"
26141,"2022-06","488","2019청도세계코미디아트페스티벌","청도세계코미디아트페스티벌",18,"문화축제"
26144,"2022-06","485","2019청도소싸움축제","청도소싸움축제",140,"문화축제"
26147,"2022-06","694","2019컬러풀대구페스티벌","컬러풀대구페스티벌",250,"문화축제"
26151,"2022-06","442","D.FESTA 대학로 거리공연축제","DFESTA대학로거리공연축제",6850,"문화축제"
26152,"2022-06","1034","DMZ마라톤대회","DMZ마라톤대회",13,"문화축제"
26155,"2022-06","910","「제34회 대구약령시 한방문화축제」","대구약령시한방문화축제",140,"문화축제"
26158,"2022-06","917","「제35회 대구약령시 한방문화축제」","대구약령시한방문화축제",140,"문화축제"
26161,"2022-06","924","「제36회 대구약령시 한방문화축제」","대구약령시한방문화축제",140,"문화축제"
26164,"2022-06","931","「제37회 대구약령시 한방문화축제」","대구약령시한방문화축제",140,"문화축제"
26165,"2022-06","737","가로수사랑음악회","가로수사랑음악회",10,"문화축제"
26168,"2022-06","235","가야문화축제","가야문화축제",680,"문화축제"
26171,"2022-06","845","가파도청보리축제","가파도청보리축제",1150,"문화축제"
26174,"2022-06","154","간재미 축제","간재미축제",12,"문화축제"
26178,"2022-06","86","감물감자축제","감물감자축제",2470,"문화축제"
26179,"2022-06","1079","감자옥수수 축제","감자옥수수축제",14,"문화축제"
26182,"2022-06","366","감천문화마을 골목축제","감천문화마을골목축제",20,"문화축제"
26185,"2022-06","299","갑사황매화 축제","갑사황매화축제",13,"문화축제"
26188,"2022-06","111","강감찬축제","강감찬축제",90,"문화축제"
26191,"2022-06","187","강경젓갈축제","강경젓갈축제",590,"문화축제"
26194,"2022-06","586","강동선사문화축제","강동선사문화축제",160,"문화축제"
26197,"2022-06","763","강릉단오제","강릉단오제",120700,"문화축제"
26200,"2022-06","764","강릉커피축제","강릉커피축제",1390,"문화축제"
26204,"2022-06","115","개천예술제","개천예술제",480,"문화축제"
26207,"2022-06","436","거제 섬꽃축제","거제섬꽃축제",270,"문화축제"
26209,"2022-06","430","거제 옥포대첩 축제","거제옥포대첩축제",4260,"문화축제"
26212,"2022-06","434","거제맥주축제","거제맥주축제",100,"문화축제"
26217,"2022-06","614","거창한마당대축제","거창한마당대축제",100,"문화축제"
26220,"2022-06","101","겨울왕국 제천페스티벌","겨울왕국제천페스티벌",19,"문화축제"
26223,"2022-06","767","경산갓바위소원성취축제","경산갓바위소원성취축제",17,"문화축제"
26226,"2022-06","766","경산자인단오제","경산자인단오제",12120,"문화축제"
26229,"2022-06","760","계룡군문화축제","계룡군문화축제",1620,"문화축제"
26232,"2022-06","171","계룡산벚꽃축제","계룡산벚꽃축제",15,"문화축제"
26235,"2022-06","280","계룡산산신제","계룡산산신제",30,"문화축제"
26238,"2022-06","103","계양산국악제","계양산국악제",19,"문화축제"
26241,"2022-06","753","고려산진달래축제","고려산진달래축제",90,"문화축제"
26244,"2022-06","27","고로쇠축제","고로쇠축제",28,"문화축제"
26246,"2022-06","738","고서포도축제","고서포도축제",17,"문화축제"
26249,"2022-06","1105","고스트파크","고스트파크",1050,"문화축제"
26255,"2022-06","326","고창갯벌축제","고창갯벌축제",470,"문화축제"
26258,"2022-06","322","고창모양성제","고창모양성제",140,"문화축제"
26261,"2022-06","325","고창복분자와수박축제","고창복분자와수박축제",16440,"문화축제"
26264,"2022-06","323","고창청보리밭축제","고창청보리밭축제",680,"문화축제"
26267,"2022-06","328","고창해풍고추축제","고창해풍고추축제",17,"문화축제"
26270,"2022-06","490","고흥 우주항공 축제","고흥우주항공축제",90,"문화축제"
26273,"2022-06","1087","곡성세계장미축제","곡성세계장미축제",40750,"문화축제"
26276,"2022-06","1088","곡성심청축제","곡성심청축제",60,"문화축제"
26279,"2022-06","526","곰소젓갈발효축제","곰소젓갈발효축제",30,"문화축제"
26282,"2022-06","1031","곰취축제","곰취축제",70,"문화축제"
26285,"2022-06","279","공주 석장리 구석기축제","공주석장리구석기축제",30,"문화축제"
26288,"2022-06","170","공주 석장리 세계구석기축제","공주석장리세계구석기축제",180,"문화축제"
26293,"2022-06","1124","광양매화축제","광양매화축제",650,"문화축제"
26296,"2022-06","1127","광양숯불구이축제","광양숯불구이축제",160,"문화축제"
26299,"2022-06","1126","광양전어축제","광양전어축제",140,"문화축제"
26302,"2022-06","749","광주 남한산성문화제","광주남한산성문화제",70,"문화축제"
26305,"2022-06","447","광주남한산성문화제","광주남한산성문화제",70,"문화축제"
26308,"2022-06","620","광주세계김치축제","광주세계김치축제",300,"문화축제"
26311,"2022-06","750","광주왕실도자기축제","광주왕실도자기축제",160,"문화축제"
26314,"2022-06","619","광주프린지페스티벌","광주프린지페스티벌",9440,"문화축제"
26317,"2022-06","83","괴산고추축제","괴산고추축제",750,"문화축제"
26319,"2022-06","85","괴산올갱이축제","괴산올갱이축제",57,"문화축제"
26322,"2022-06","146","구로G페스티벌","구로G페스티벌",70,"문화축제"
26325,"2022-06","900","군산시간여행축제","군산시간여행축제",310,"문화축제"
26328,"2022-06","448","군포철쭉축제","군포철쭉축제",140,"문화축제"
26331,"2022-06","375","굿모닝 양림","굿모닝양림",20,"문화축제"
26333,"2022-06","198","금강여울축제","금강여울축제",20,"문화축제"
26335,"2022-06","868","금능 원담축제","금능원담축제",90,"문화축제"
26338,"2022-06","196","금산인삼축제","금산인삼축제",3560,"문화축제"
26344,"2022-06","835","금호강 바람소리길 축제","금호강바람소리길축제",860,"문화축제"
26347,"2022-06","191","기지시줄다리기 민속축제","기지시줄다리기민속축제",26,"문화축제"
26349,"2022-06","967","김광석노래부르기","김광석노래부르기",16,"문화축제"
26353,"2022-06","483","김삿갓문화제","김삿갓문화제",30,"문화축제"
26359,"2022-06","367","김천국제가족연극제","김천국제가족연극제",450,"문화축제"
26362,"2022-06","368","김천예술제","김천예술제",12,"문화축제"
26365,"2022-06","370","김천자두포도축제","김천자두포도축제",50,"문화축제"
26367,"2022-06","416","김포예술제","김포예술제",20,"문화축제"
26370,"2022-06","237","김해독서대전","김해독서대전",40,"문화축제"
26373,"2022-06","236","김해분청도자기축제","김해분청도자기축제",320,"문화축제"
26376,"2022-06","740","낙동강유채꽃 축제","낙동강유채꽃축제",20,"문화축제"
26379,"2022-06","630","남도음식문화큰잔치","남도음식문화큰잔치",120,"문화축제"
26382,"2022-06","431","남부면 수국축제","남부면수국축제",270,"문화축제"
26384,"2022-06","1023","남한강 물축제","남한강물축제",10,"문화축제"
26386,"2022-06","1091","내 집 앞 세계영화제","내집앞세계영화제",330,"문화축제"
