SEQ_NO,SCCNT_YM,ORIGIN_ID,REPRSNT_KWRD_NM,SRCHWRD_NM,SCCNT_VALUE,ORIGIN_CL_NM
36641,2023-07,997,2014 안양시민축제,안양시민축제,620,문화축제
36642,2023-07,992,2015 안양 시민축제,안양시민축제,620,문화축제
36643,2023-07,396,2016 대가야체험축제,대가야체험축제,12,문화축제
36644,2023-07,945,2016 대구약령시한방문화축제,대구약령시한방문화축제,130,문화축제
36645,2023-07,994,2016 안양 시민축제,안양시민축제,620,문화축제
36646,2023-07,996,2016 제5회 안양공공예술프로젝트,안양공공예술프로젝트,500,문화축제
36647,2023-07,819,2016 평생학습 박람회 & 제6회 도서관책문화축제,평생학습박람회,160,문화축제
36648,2023-07,283,2017 겨울공주군밤축제,겨울공주군밤축제,30,문화축제
36649,2023-07,952,2017 대구약령시한방문화축제,대구약령시한방문화축제,130,문화축제
36650,2023-07,627,2017 물의나라화천 쪽배축제,물의나라화천쪽배축제,260,문화축제
36651,2023-07,1001,2017 안양 시민축제,안양시민축제,620,문화축제
36652,2023-07,628,2017 얼음나라화천 산천어축제,얼음나라화천산천어축제,290,문화축제
36653,2023-07,4,2017 영동곶감축제,영동곶감축제,90,문화축제
36654,2023-07,385,2017 음식 문화축제,음식문화축제,80,문화축제
36655,2023-07,287,2018 계룡산산신제,계룡산산신제,30,문화축제
36656,2023-07,286,2018 공주 석장리 세계구석기축제,공주석장리세계구석기축제,40,문화축제
36657,2023-07,962,2018 대구약령시한방문화축제,대구약령시한방문화축제,130,문화축제
36658,2023-07,290,2018 마곡사토요무대,마곡사토요무대,93,문화축제
36659,2023-07,1123,2018 무안황토갯벌축제,무안황토갯벌축제,220,문화축제
36660,2023-07,799,2018 안산 김홍도축제,안산김홍도축제,240,문화축제
36661,2023-07,1005,2018 안양 시민축제,안양시민축제,620,문화축제
36662,2023-07,386,2018 음식 문화축제,음식문화축제,80,문화축제
36663,2023-07,501,2018 전주비빔밥축제,전주비빔밥축제,520,문화축제
36664,2023-07,463,2018 제2회 광진교 페스티벌,광진교페스티벌,15,문화축제
36665,2023-07,444,2018 종로한복축제,종로한복축제,340,문화축제
36666,2023-07,1094,2019 강남페스티벌,강남페스티벌,280,문화축제
36667,2023-07,296,2019 계룡산산신제,계룡산산신제,30,문화축제
