SEQ_NO,SCCNT_YM,ORIGIN_ID,REPRSNT_KWRD_NM,SRCHWRD_NM,SCCNT_VALUE,ORIGIN_CL_NM
31848,2023-03,997,2014 안양시민축제,안양시민축제,170,문화축제
31849,2023-03,992,2015 안양 시민축제,안양시민축제,170,문화축제
31850,2023-03,396,2016 대가야체험축제,대가야체험축제,530,문화축제
31851,2023-03,945,2016 대구약령시한방문화축제,대구약령시한방문화축제,190,문화축제
31852,2023-03,994,2016 안양 시민축제,안양시민축제,170,문화축제
31853,2023-03,996,2016 제5회 안양공공예술프로젝트,안양공공예술프로젝트,80,문화축제
31854,2023-03,819,2016 평생학습 박람회 & 제6회 도서관책문화축제,평생학습박람회,110,문화축제
31855,2023-03,283,2017 겨울공주군밤축제,겨울공주군밤축제,130,문화축제
31856,2023-03,952,2017 대구약령시한방문화축제,대구약령시한방문화축제,190,문화축제
31857,2023-03,627,2017 물의나라화천 쪽배축제,물의나라화천쪽배축제,18,문화축제
31858,2023-03,1001,2017 안양 시민축제,안양시민축제,170,문화축제
31859,2023-03,998,2017 안양충훈벚꽃축제,안양충훈벚꽃축제,6050,문화축제
31860,2023-03,628,2017 얼음나라화천 산천어축제,얼음나라화천산천어축제,600,문화축제
31861,2023-03,4,2017 영동곶감축제,영동곶감축제,160,문화축제
31862,2023-03,385,2017 음식 문화축제,음식문화축제,40,문화축제
31863,2023-03,289,2018 계룡산벚꽃축제,계룡산벚꽃축제,5780,문화축제
31864,2023-03,287,2018 계룡산산신제,계룡산산신제,100,문화축제
31865,2023-03,286,2018 공주 석장리 세계구석기축제,공주석장리세계구석기축제,260,문화축제
31866,2023-03,962,2018 대구약령시한방문화축제,대구약령시한방문화축제,190,문화축제
31867,2023-03,1123,2018 무안황토갯벌축제,무안황토갯벌축제,100,문화축제
31868,2023-03,799,2018 안산 김홍도축제,안산김홍도축제,60,문화축제
31869,2023-03,1005,2018 안양 시민축제,안양시민축제,170,문화축제
31870,2023-03,1002,2018 안양충훈벚꽃축제,안양충훈벚꽃축제,6050,문화축제
31871,2023-03,313,2018 연제고분판타지축제,연제고분판타지축제,6010,문화축제
31872,2023-03,386,2018 음식 문화축제,음식문화축제,40,문화축제
31873,2023-03,501,2018 전주비빔밥축제,전주비빔밥축제,520,문화축제
31874,2023-03,464,2018 제8회 광나루 어울마당,광나루어울마당,14,문화축제
31875,2023-03,444,2018 종로한복축제,종로한복축제,170,문화축제
31876,2023-03,1094,2019 강남페스티벌,강남페스티벌,190,문화축제
31877,2023-03,298,2019 계룡산벚꽃축제,계룡산벚꽃축제,5780,문화축제
31878,2023-03,296,2019 계룡산산신제,계룡산산신제,100,문화축제
31879,2023-03,609,2019 고양가을꽃축제,고양가을꽃축제,60,문화축제
