SEQ_NO,SCCNT_YM,ORIGIN_ID,REPRSNT_KWRD_NM,SRCHWRD_NM,SCCNT_VALUE,ORIGIN_CL_NM
25745,"2022-03","679","청룡문화제","청룡문화제",17,"문화축제"
24527,"2022-03","997","2014 안양시민축제","안양시민축제",120,"문화축제"
24530,"2022-03","992","2015 안양 시민축제","안양시민축제",120,"문화축제"
24533,"2022-03","396","2016 대가야체험축제","대가야체험축제",110,"문화축제"
24536,"2022-03","945","2016 대구약령시한방문화축제","대구약령시한방문화축제",160,"문화축제"
24539,"2022-03","994","2016 안양 시민축제","안양시민축제",120,"문화축제"
24730,"2022-03","111","강감찬축제","강감찬축제",40,"문화축제"
24542,"2022-03","996","2016 제5회 안양공공예술프로젝트","안양공공예술프로젝트",50,"문화축제"
24545,"2022-03","819","2016 평생학습 박람회 & 제6회 도서관책문화축제","평생학습박람회",60,"문화축제"
24548,"2022-03","283","2017 겨울공주군밤축제","겨울공주군밤축제",30,"문화축제"
24551,"2022-03","952","2017 대구약령시한방문화축제","대구약령시한방문화축제",160,"문화축제"
24554,"2022-03","1001","2017 안양 시민축제","안양시민축제",120,"문화축제"
24556,"2022-03","998","2017 안양충훈벚꽃축제","안양충훈벚꽃축제",240,"문화축제"
24559,"2022-03","628","2017 얼음나라화천 산천어축제","얼음나라화천산천어축제",140,"문화축제"
24562,"2022-03","4","2017 영동곶감축제","영동곶감축제",60,"문화축제"
24564,"2022-03","289","2018 계룡산벚꽃축제","계룡산벚꽃축제",350,"문화축제"
24567,"2022-03","287","2018 계룡산산신제","계룡산산신제",80,"문화축제"
24570,"2022-03","286","2018 공주 석장리 세계구석기축제","공주석장리세계구석기축제",130,"문화축제"
24573,"2022-03","962","2018 대구약령시한방문화축제","대구약령시한방문화축제",160,"문화축제"
24575,"2022-03","290","2018 마곡사토요무대","마곡사토요무대",13,"문화축제"
24578,"2022-03","1123","2018 무안황토갯벌축제","무안황토갯벌축제",70,"문화축제"
24579,"2022-03","284","2018 백제어울마당","백제어울마당",10,"문화축제"
24583,"2022-03","1005","2018 안양 시민축제","안양시민축제",120,"문화축제"
24585,"2022-03","1002","2018 안양충훈벚꽃축제","안양충훈벚꽃축제",240,"문화축제"
24587,"2022-03","313","2018 연제고분판타지축제","연제고분판타지축제",30,"문화축제"
24591,"2022-03","501","2018 전주비빔밥축제","전주비빔밥축제",230,"문화축제"
24596,"2022-03","444","2018 종로한복축제","종로한복축제",260,"문화축제"
24599,"2022-03","1094","2019 강남페스티벌","강남페스티벌",110,"문화축제"
24601,"2022-03","298","2019 계룡산벚꽃축제","계룡산벚꽃축제",350,"문화축제"
25215,"2022-03","675","아트제주2019","아트제주",150,"문화축제"
24604,"2022-03","296","2019 계룡산산신제","계룡산산신제",80,"문화축제"
24607,"2022-03","609","2019 고양가을꽃축제","고양가을꽃축제",80,"문화축제"
24610,"2022-03","597","2019 고양국제꽃박람회","고양국제꽃박람회",1810,"문화축제"
24613,"2022-03","602","2019 고양행주문화제","고양행주문화제",80,"문화축제"
24616,"2022-03","610","2019 고양호수예술축제","고양호수예술축제",190,"문화축제"
24617,"2022-03","295","2019 공주 석장리 구석기축제","공주석장리구석기축제",14,"문화축제"
24620,"2022-03","863","2019 곶자왈 반딧불이 축제","곶자왈반딧불이축제",100,"문화축제"
24623,"2022-03","306","2019 군포철쭉축제","군포철쭉축제",770,"문화축제"
24624,"2022-03","223","2019 금정산성축제","금정산성축제",24,"문화축제"
24627,"2022-03","975","2019 대구약령시한방문화축제","대구약령시한방문화축제",160,"문화축제"
24630,"2022-03","873","2019 대전 서구힐링 아트페스티벌","대전서구힐링아트페스티벌",100,"문화축제"
24633,"2022-03","836","2019 대한민국 국향대전","대한민국국향대전",17,"문화축제"
24634,"2022-03","121","2019 동작복지나눔축제","동작복지나눔축제",13,"문화축제"
24635,"2022-03","293","2019 백제어울마당","백제어울마당",10,"문화축제"
24636,"2022-03","862","2019 보목자리돔축제","보목자리돔축제",17,"문화축제"
24639,"2022-03","150","2019 보정역생활문화센터 <청춘파티  - 특별프로그램>","보정역생활문화센터",250,"문화축제"
24642,"2022-03","889","2019 부평풍물대축제","부평풍물대축제",290,"문화축제"
24644,"2022-03","859","2019 사려니숲 에코힐링 체험","사려니숲에코힐링체험",38,"문화축제"
24647,"2022-03","382","2019 수원연극축제","수원연극축제",170,"문화축제"
24650,"2022-03","365","2019 순천 푸드앤아트 페스티벌","순천푸드앤아트페스티벌",90,"문화축제"
24653,"2022-03","1057","2019 안성맞춤 남사당 바우덕이축제","안성맞춤남사당바우덕이축제",12,"문화축제"
24656,"2022-03","980","2019 여주오곡나루축제(취소)","여주오곡나루축제",50,"문화축제"
24659,"2022-03","36","2019 예천세계활축제","예천세계활축제",18,"문화축제"
24663,"2022-03","54","2019 정읍벚꽃축제","정읍벚꽃축제",980,"문화축제"
24666,"2022-03","462","2019 제8회 서울동화축제","서울동화축제",50,"문화축제"
24668,"2022-03","864","2019 제주 메밀축제","제주메밀축제",30,"문화축제"
24671,"2022-03","664","2019 제주들불축제","제주들불축제",17330,"문화축제"
24674,"2022-03","665","2019 제주왕벚꽃축제","제주왕벚꽃축제",560,"문화축제"
24678,"2022-03","400","2019 진안홍삼축제","진안홍삼축제",130,"문화축제"
24681,"2022-03","292","2019겨울공주군밤축제","겨울공주군밤축제",30,"문화축제"
24684,"2022-03","513","2019년 울산 마두희 축제","울산마두희축제",60,"문화축제"
24687,"2022-03","506","2019년 제15회 해운대모래축제","해운대모래축제",720,"문화축제"
24690,"2022-03","487","2019청도반시축제","청도반시축제",30,"문화축제"
24693,"2022-03","485","2019청도소싸움축제","청도소싸움축제",280,"문화축제"
24695,"2022-03","694","2019컬러풀대구페스티벌","컬러풀대구페스티벌",19,"문화축제"
24699,"2022-03","226","4.19혁명 국민문화제 2019","419혁명국민문화제",100,"문화축제"
24700,"2022-03","1034","DMZ마라톤대회","DMZ마라톤대회",12,"문화축제"
24703,"2022-03","910","「제34회 대구약령시 한방문화축제」","대구약령시한방문화축제",160,"문화축제"
24706,"2022-03","917","「제35회 대구약령시 한방문화축제」","대구약령시한방문화축제",160,"문화축제"
24709,"2022-03","924","「제36회 대구약령시 한방문화축제」","대구약령시한방문화축제",160,"문화축제"
24712,"2022-03","931","「제37회 대구약령시 한방문화축제」","대구약령시한방문화축제",160,"문화축제"
24715,"2022-03","235","가야문화축제","가야문화축제",480,"문화축제"
24718,"2022-03","845","가파도청보리축제","가파도청보리축제",12410,"문화축제"
24721,"2022-03","154","간재미 축제","간재미축제",24,"문화축제"
24723,"2022-03","1120","간절곶해맞이","간절곶해맞이",18,"문화축제"
24725,"2022-03","366","감천문화마을 골목축제","감천문화마을골목축제",20,"문화축제"
24727,"2022-03","299","갑사황매화 축제","갑사황매화축제",80,"문화축제"
24733,"2022-03","187","강경젓갈축제","강경젓갈축제",200,"문화축제"
24736,"2022-03","586","강동선사문화축제","강동선사문화축제",120,"문화축제"
24739,"2022-03","763","강릉단오제","강릉단오제",2890,"문화축제"
24742,"2022-03","764","강릉커피축제","강릉커피축제",540,"문화축제"
24744,"2022-03","527","개암동벚꽃축제","개암동벚꽃축제",120,"문화축제"
24747,"2022-03","115","개천예술제","개천예술제",250,"문화축제"
