SEQ_NO,SCCNT_YM,ORIGIN_ID,REPRSNT_KWRD_NM,SRCHWRD_NM,SCCNT_VALUE,ORIGIN_CL_NM
41659,2024-02,111,강감찬축제,강감찬축제,110,문화축제
41729,2024-02,480,단종문화제,단종문화제,330,문화축제
41588,2024-02,997,2014 안양시민축제,안양시민축제,29,문화축제
41589,2024-02,992,2015 안양 시민축제,안양시민축제,29,문화축제
41590,2024-02,396,2016 대가야체험축제,대가야체험축제,60,문화축제
41591,2024-02,945,2016 대구약령시한방문화축제,대구약령시한방문화축제,120,문화축제
41592,2024-02,994,2016 안양 시민축제,안양시민축제,29,문화축제
41593,2024-02,996,2016 제5회 안양공공예술프로젝트,안양공공예술프로젝트,40,문화축제
41594,2024-02,819,2016 평생학습 박람회 & 제6회 도서관책문화축제,평생학습박람회,40,문화축제
41595,2024-02,283,2017 겨울공주군밤축제,겨울공주군밤축제,2510,문화축제
41596,2024-02,952,2017 대구약령시한방문화축제,대구약령시한방문화축제,120,문화축제
41597,2024-02,1001,2017 안양 시민축제,안양시민축제,29,문화축제
41598,2024-02,998,2017 안양충훈벚꽃축제,안양충훈벚꽃축제,130,문화축제
41599,2024-02,628,2017 얼음나라화천 산천어축제,얼음나라화천산천어축제,4230,문화축제
41600,2024-02,4,2017 영동곶감축제,영동곶감축제,1810,문화축제
41601,2024-02,289,2018 계룡산벚꽃축제,계룡산벚꽃축제,170,문화축제
41602,2024-02,287,2018 계룡산산신제,계룡산산신제,50,문화축제
41603,2024-02,286,2018 공주 석장리 세계구석기축제,공주석장리세계구석기축제,40,문화축제
41604,2024-02,962,2018 대구약령시한방문화축제,대구약령시한방문화축제,120,문화축제
41605,2024-02,1123,2018 무안황토갯벌축제,무안황토갯벌축제,30,문화축제
41606,2024-02,799,2018 안산 김홍도축제,안산김홍도축제,30,문화축제
41607,2024-02,1005,2018 안양 시민축제,안양시민축제,29,문화축제
41608,2024-02,1002,2018 안양충훈벚꽃축제,안양충훈벚꽃축제,130,문화축제
41609,2024-02,313,2018 연제고분판타지축제,연제고분판타지축제,280,문화축제
41610,2024-02,501,2018 전주비빔밥축제,전주비빔밥축제,200,문화축제
41611,2024-02,1056,2018 정선고드름축제,정선고드름축제,30,문화축제
41612,2024-02,444,2018 종로한복축제,종로한복축제,70,문화축제
41613,2024-02,1094,2019 강남페스티벌,강남페스티벌,150,문화축제
41614,2024-02,298,2019 계룡산벚꽃축제,계룡산벚꽃축제,170,문화축제
41615,2024-02,296,2019 계룡산산신제,계룡산산신제,50,문화축제
41616,2024-02,609,2019 고양가을꽃축제,고양가을꽃축제,40,문화축제
41617,2024-02,597,2019 고양국제꽃박람회,고양국제꽃박람회,1760,문화축제
41618,2024-02,602,2019 고양행주문화제,고양행주문화제,240,문화축제
41619,2024-02,610,2019 고양호수예술축제,고양호수예술축제,170,문화축제
41620,2024-02,295,2019 공주 석장리 구석기축제,공주석장리구석기축제,40,문화축제
41621,2024-02,863,2019 곶자왈 반딧불이 축제,곶자왈반딧불이축제,26,문화축제
41622,2024-02,306,2019 군포철쭉축제,군포철쭉축제,970,문화축제
41623,2024-02,223,2019 금정산성축제,금정산성축제,110,문화축제
41624,2024-02,975,2019 대구약령시한방문화축제,대구약령시한방문화축제,120,문화축제
41625,2024-02,873,2019 대전 서구힐링 아트페스티벌,대전서구힐링아트페스티벌,120,문화축제
41626,2024-02,836,2019 대한민국 국향대전,대한민국국향대전,50,문화축제
41627,2024-02,862,2019 보목자리돔축제,보목자리돔축제,15,문화축제
41628,2024-02,150,2019 보정역생활문화센터 <청춘파티  - 특별프로그램>,보정역생활문화센터,80,문화축제
41629,2024-02,889,2019 부평풍물대축제,부평풍물대축제,180,문화축제
41630,2024-02,382,2019 수원연극축제,수원연극축제,550,문화축제
41631,2024-02,365,2019 순천 푸드앤아트 페스티벌,순천푸드앤아트페스티벌,60,문화축제
41632,2024-02,1057,2019 안성맞춤 남사당 바우덕이축제,안성맞춤남사당바우덕이축제,50,문화축제
41633,2024-02,980,2019 여주오곡나루축제(취소),여주오곡나루축제,320,문화축제
41634,2024-02,54,2019 정읍벚꽃축제,정읍벚꽃축제,690,문화축제
41635,2024-02,462,2019 제8회 서울동화축제,서울동화축제,100,문화축제
41636,2024-02,864,2019 제주 메밀축제,제주메밀축제,18,문화축제
41637,2024-02,664,2019 제주들불축제,제주들불축제,2860,문화축제
41638,2024-02,665,2019 제주왕벚꽃축제,제주왕벚꽃축제,700,문화축제
41639,2024-02,252,2019 중딩영화제,중딩영화제,16,문화축제
41640,2024-02,400,2019 진안홍삼축제,진안홍삼축제,150,문화축제
41641,2024-02,292,2019겨울공주군밤축제,겨울공주군밤축제,2510,문화축제
41642,2024-02,513,2019년 울산 마두희 축제,울산마두희축제,30,문화축제
41643,2024-02,506,2019년 제15회 해운대모래축제,해운대모래축제,690,문화축제
41644,2024-02,487,2019청도반시축제,청도반시축제,90,문화축제
41645,2024-02,488,2019청도세계코미디아트페스티벌,청도세계코미디아트페스티벌,16,문화축제
41646,2024-02,485,2019청도소싸움축제,청도소싸움축제,370,문화축제
41647,2024-02,694,2019컬러풀대구페스티벌,컬러풀대구페스티벌,19,문화축제
41648,2024-02,226,4.19혁명 국민문화제 2019,419혁명국민문화제,190,문화축제
41649,2024-02,910,「제34회 대구약령시 한방문화축제」,대구약령시한방문화축제,120,문화축제
41650,2024-02,917,「제35회 대구약령시 한방문화축제」,대구약령시한방문화축제,120,문화축제
41651,2024-02,924,「제36회 대구약령시 한방문화축제」,대구약령시한방문화축제,120,문화축제
41652,2024-02,931,「제37회 대구약령시 한방문화축제」,대구약령시한방문화축제,120,문화축제
41653,2024-02,235,가야문화축제,가야문화축제,480,문화축제
41654,2024-02,845,가파도청보리축제,가파도청보리축제,3130,문화축제
41655,2024-02,154,간재미 축제,간재미축제,20,문화축제
41656,2024-02,1120,간절곶해맞이,간절곶해맞이,20,문화축제
41657,2024-02,366,감천문화마을 골목축제,감천문화마을골목축제,40,문화축제
41658,2024-02,299,갑사황매화 축제,갑사황매화축제,40,문화축제
41660,2024-02,187,강경젓갈축제,강경젓갈축제,370,문화축제
41661,2024-02,586,강동선사문화축제,강동선사문화축제,100,문화축제
41662,2024-02,763,강릉단오제,강릉단오제,2850,문화축제
41663,2024-02,764,강릉커피축제,강릉커피축제,630,문화축제
41664,2024-02,527,개암동벚꽃축제,개암동벚꽃축제,20,문화축제
41665,2024-02,115,개천예술제,개천예술제,250,문화축제
41666,2024-02,989,개화산 봄꽃축제,개화산봄꽃축제,17,문화축제
41667,2024-02,359,거문도백도은빛바다체험행사,거문도백도은빛바다체험행사,20,문화축제
41668,2024-02,437,거제 대구수산물 축제,거제대구수산물축제,17,문화축제
41669,2024-02,436,거제 섬꽃축제,거제섬꽃축제,120,문화축제
41670,2024-02,430,거제 옥포대첩 축제,거제옥포대첩축제,30,문화축제
41671,2024-02,434,거제맥주축제,거제맥주축제,30,문화축제
41672,2024-02,614,거창한마당대축제,거창한마당대축제,29,문화축제
41673,2024-02,101,겨울왕국 제천페스티벌,겨울왕국제천페스티벌,16,문화축제
41674,2024-02,767,경산갓바위소원성취축제,경산갓바위소원성취축제,40,문화축제
41675,2024-02,766,경산자인단오제,경산자인단오제,240,문화축제
41676,2024-02,760,계룡군문화축제,계룡군문화축제,650,문화축제
41677,2024-02,171,계룡산벚꽃축제,계룡산벚꽃축제,170,문화축제
41678,2024-02,280,계룡산산신제,계룡산산신제,50,문화축제
41679,2024-02,103,계양산국악제,계양산국악제,80,문화축제
41680,2024-02,753,고려산진달래축제,고려산진달래축제,2890,문화축제
41681,2024-02,27,고로쇠축제,고로쇠축제,1290,문화축제
41682,2024-02,1105,고스트파크,고스트파크,230,문화축제
41683,2024-02,374,고싸움놀이축제,고싸움놀이축제,660,문화축제
41684,2024-02,616,고싸움놀이축제(1차),고싸움놀이축제,660,문화축제
41685,2024-02,617,고싸움놀이축제(2차),고싸움놀이축제,660,문화축제
41686,2024-02,326,고창갯벌축제,고창갯벌축제,90,문화축제
41687,2024-02,322,고창모양성제,고창모양성제,170,문화축제
41688,2024-02,325,고창복분자와수박축제,고창복분자와수박축제,30,문화축제
41689,2024-02,323,고창청보리밭축제,고창청보리밭축제,2680,문화축제
41690,2024-02,328,고창해풍고추축제,고창해풍고추축제,19,문화축제
41691,2024-02,490,고흥 우주항공 축제,고흥우주항공축제,220,문화축제
41692,2024-02,1087,곡성세계장미축제,곡성세계장미축제,510,문화축제
41693,2024-02,1088,곡성심청축제,곡성심청축제,13,문화축제
41694,2024-02,526,곰소젓갈발효축제,곰소젓갈발효축제,11,문화축제
41695,2024-02,1031,곰취축제,곰취축제,30,문화축제
41696,2024-02,279,공주 석장리 구석기축제,공주석장리구석기축제,40,문화축제
41697,2024-02,170,공주 석장리 세계구석기축제,공주석장리세계구석기축제,40,문화축제
41698,2024-02,1124,광양매화축제,광양매화축제,213800,문화축제
41699,2024-02,1127,광양숯불구이축제,광양숯불구이축제,110,문화축제
41700,2024-02,1126,광양전어축제,광양전어축제,130,문화축제
41701,2024-02,749,광주 남한산성문화제,광주남한산성문화제,20,문화축제
41702,2024-02,447,광주남한산성문화제,광주남한산성문화제,20,문화축제
41703,2024-02,620,광주세계김치축제,광주세계김치축제,50,문화축제
41704,2024-02,750,광주왕실도자기축제,광주왕실도자기축제,230,문화축제
41705,2024-02,619,광주프린지페스티벌,광주프린지페스티벌,120,문화축제
41706,2024-02,83,괴산고추축제,괴산고추축제,200,문화축제
41707,2024-02,146,구로G페스티벌,구로G페스티벌,50,문화축제
41708,2024-02,900,군산시간여행축제,군산시간여행축제,150,문화축제
41709,2024-02,448,군포철쭉축제,군포철쭉축제,970,문화축제
41710,2024-02,375,굿모닝 양림,굿모닝양림,20,문화축제
41711,2024-02,868,금능 원담축제,금능원담축제,14,문화축제
41712,2024-02,196,금산인삼축제,금산인삼축제,1380,문화축제
41713,2024-02,835,금호강 바람소리길 축제,금호강바람소리길축제,130,문화축제
41714,2024-02,834,금호강 정월대보름 축제,금호강정월대보름축제,3150,문화축제
41715,2024-02,191,기지시줄다리기 민속축제,기지시줄다리기민속축제,40,문화축제
41716,2024-02,967,김광석노래부르기,김광석노래부르기,13,문화축제
41717,2024-02,973,김광석추모콘서트,김광석추모콘서트,15,문화축제
41718,2024-02,483,김삿갓문화제,김삿갓문화제,40,문화축제
41719,2024-02,367,김천국제가족연극제,김천국제가족연극제,40,문화축제
41720,2024-02,237,김해독서대전,김해독서대전,130,문화축제
41721,2024-02,236,김해분청도자기축제,김해분청도자기축제,70,문화축제
41722,2024-02,740,낙동강유채꽃 축제,낙동강유채꽃축제,160,문화축제
41723,2024-02,630,남도음식문화큰잔치,남도음식문화큰잔치,60,문화축제
41724,2024-02,431,남부면 수국축제,남부면수국축제,20,문화축제
41725,2024-02,353,남일면홍도화축제,남일면홍도화축제,10,문화축제
41726,2024-02,305,노원탈축제,노원탈축제,20,문화축제
41727,2024-02,186,논산딸기축제,논산딸기축제,52670,문화축제
41728,2024-02,29,단감축제,단감축제,26,문화축제
41730,2024-02,466,달마고도 걷기축제,달마고도걷기축제,80,문화축제
41731,2024-02,39,달맞이축제,달맞이축제,1530,문화축제
41732,2024-02,792,달배달맞이축제,달배달맞이축제,410,문화축제
41733,2024-02,474,달성토성마을축제,달성토성마을축제,14,문화축제
41734,2024-02,712,달집태우기,달집태우기,47800,문화축제
41735,2024-02,733,담양대나무축제,담양대나무축제,1230,문화축제
41736,2024-02,734,담양산타축제,담양산타축제,110,문화축제
41737,2024-02,1082,대관령눈꽃축제,대관령눈꽃축제,54130,문화축제
41738,2024-02,697,대구국제뮤지컬페스티벌,대구국제뮤지컬페스티벌,330,문화축제
41739,2024-02,696,대구국제오페라축제,대구국제오페라축제,50,문화축제
41740,2024-02,703,대구국제호러페스티벌,대구국제호러페스티벌,10,문화축제
41741,2024-02,957,대구스트리트 모터 페스티벌,대구스트리트모터페스티벌,60,문화축제
41742,2024-02,700,대구약령시한방문화축제,대구약령시한방문화축제,120,문화축제
41743,2024-02,954,대구워터페스티벌,대구워터페스티벌,13,문화축제
41744,2024-02,702,대구치맥페스티벌,대구치맥페스티벌,1140,문화축제
41745,2024-02,701,대구포크페스티벌,대구포크페스티벌,30,문화축제
41746,2024-02,426,대금산진달래축제,대금산진달래축제,100,문화축제
41747,2024-02,15,도봉구 등축제,도봉구등축제,16,문화축제
41748,2024-02,1015,독일마을 맥주축제,독일마을맥주축제,490,문화축제
41749,2024-02,481,동강국제사진제,동강국제사진제,26,문화축제
41750,2024-02,768,동래읍성역사축제,동래읍성역사축제,130,문화축제
41751,2024-02,204,동백꽃 주꾸미 축제,동백꽃주꾸미축제,50,문화축제
41752,2024-02,911,동성로축제,동성로축제,170,문화축제
41753,2024-02,663,동춘당문화제,동춘당문화제,19,문화축제
41754,2024-02,907,동해무릉제,동해무릉제,120,문화축제
41755,2024-02,472,땅끝 해넘이·해맞이 축제,땅끝해넘이해맞이축제,30,문화축제
41756,2024-02,465,땅끝매화축제,땅끝매화축제,170,문화축제
41757,2024-02,1096,롤링나이트 2019,롤링나이트,11,문화축제
41758,2024-02,178,류방택 별 축제,류방택별축제,20,문화축제
41759,2024-02,281,마곡사 신록축제,마곡사신록축제,14,문화축제
41760,2024-02,660,마산만날제,마산만날제,48,문화축제
41761,2024-02,629,명량대첩축제,명량대첩축제,200,문화축제
41762,2024-02,893,목포 유달산 봄 축제,목포유달산봄축제,60,문화축제
41763,2024-02,892,목포항구축제,목포항구축제,310,문화축제
41764,2024-02,579,문경사과축제,문경사과축제,510,문화축제
41765,2024-02,577,문경약돌한우축제,문경약돌한우축제,40,문화축제
41766,2024-02,578,문경오미자축제,문경오미자축제,150,문화축제
41767,2024-02,576,문경찻사발축제,문경찻사발축제,1040,문화축제
41768,2024-02,1054,민둥산억새꽃축제,민둥산억새꽃축제,90,문화축제
41769,2024-02,128,밀양아리랑대축제,밀양아리랑대축제,800,문화축제
41770,2024-02,432,바다로 세계로,바다로세계로,60,문화축제
41771,2024-02,496,반딧불축제,반딧불축제,1220,문화축제
41772,2024-02,856,방선문축제,방선문축제,20,문화축제
41773,2024-02,1033,배꼽축제,배꼽축제,150,문화축제
41774,2024-02,754,배내골고로쇠축제,배내골고로쇠축제,60,문화축제
41775,2024-02,756,배내골사과축제,배내골사과축제,14,문화축제
41776,2024-02,80,백마권역겨울놀이축제,백마권역겨울놀이축제,11,문화축제
41777,2024-02,38,백제문화제,백제문화제,740,문화축제
41778,2024-02,522,벌교꼬막축제,벌교꼬막축제,510,문화축제
41779,2024-02,640,법성포단오제,법성포단오제,50,문화축제
41780,2024-02,173,보령머드축제,보령머드축제,2970,문화축제
41781,2024-02,877,보목자리돔축제,보목자리돔축제,15,문화축제
41782,2024-02,519,보성다향대축제,보성다향대축제,1930,문화축제
41783,2024-02,523,보성벚꽃축제,보성벚꽃축제,50,문화축제
41784,2024-02,521,보성차밭 빛축제,보성차밭빛축제,40,문화축제
41785,2024-02,1116,보은대추축제,보은대추축제,530,문화축제
41786,2024-02,732,봉화송이축제,봉화송이축제,110,문화축제
41787,2024-02,731,봉화은어축제,봉화은어축제,370,문화축제
41788,2024-02,1108,부산고등어축제,부산고등어축제,50,문화축제
41789,2024-02,743,부산국제록페스티벌,부산국제록페스티벌,270,문화축제
41790,2024-02,742,부산바다축제,부산바다축제,180,문화축제
41791,2024-02,744,부산불꽃축제,부산불꽃축제,4630,문화축제
41792,2024-02,724,부산자갈치축제,부산자갈치축제,230,문화축제
41793,2024-02,747,부산항축제,부산항축제,220,문화축제
41794,2024-02,525,부안마실축제,부안마실축제,1150,문화축제
41795,2024-02,37,부여서동연꽃축제,부여서동연꽃축제,340,문화축제
41796,2024-02,450,부천국제만화축제,부천국제만화축제,350,문화축제
41797,2024-02,906,부천국제애니메이션페스티벌,부천국제애니메이션페스티벌,180,문화축제
