SEQ_NO,SCCNT_YM,ORIGIN_ID,REPRSNT_KWRD_NM,SRCHWRD_NM,SCCNT_VALUE,ORIGIN_CL_NM
34833,2023-08,997,2014 안양시민축제,안양시민축제,1250,문화축제
34834,2023-08,992,2015 안양 시민축제,안양시민축제,1250,문화축제
34835,2023-08,990,2016 광복기념음악회,광복기념음악회,80,문화축제
34899,2023-08,485,2019청도소싸움축제,청도소싸움축제,120,문화축제
34836,2023-08,945,2016 대구약령시한방문화축제,대구약령시한방문화축제,70,문화축제
34837,2023-08,994,2016 안양 시민축제,안양시민축제,1250,문화축제
34838,2023-08,996,2016 제5회 안양공공예술프로젝트,안양공공예술프로젝트,3750,문화축제
34839,2023-08,819,2016 평생학습 박람회 & 제6회 도서관책문화축제,평생학습박람회,300,문화축제
34840,2023-08,283,2017 겨울공주군밤축제,겨울공주군밤축제,40,문화축제
34841,2023-08,1000,2017 광복기념음악회,광복기념음악회,80,문화축제
34842,2023-08,952,2017 대구약령시한방문화축제,대구약령시한방문화축제,70,문화축제
34843,2023-08,627,2017 물의나라화천 쪽배축제,물의나라화천쪽배축제,40,문화축제
34844,2023-08,1001,2017 안양 시민축제,안양시민축제,1250,문화축제
34845,2023-08,628,2017 얼음나라화천 산천어축제,얼음나라화천산천어축제,480,문화축제
34846,2023-08,4,2017 영동곶감축제,영동곶감축제,230,문화축제
34847,2023-08,385,2017 음식 문화축제,음식문화축제,100,문화축제
34848,2023-08,286,2018 공주 석장리 세계구석기축제,공주석장리세계구석기축제,60,문화축제
34849,2023-08,1004,2018 광복기념음악회,광복기념음악회,80,문화축제
34850,2023-08,962,2018 대구약령시한방문화축제,대구약령시한방문화축제,70,문화축제
34851,2023-08,290,2018 마곡사토요무대,마곡사토요무대,62,문화축제
34852,2023-08,1123,2018 무안황토갯벌축제,무안황토갯벌축제,30,문화축제
34853,2023-08,799,2018 안산 김홍도축제,안산김홍도축제,550,문화축제
34854,2023-08,1005,2018 안양 시민축제,안양시민축제,1250,문화축제
34855,2023-08,386,2018 음식 문화축제,음식문화축제,100,문화축제
34856,2023-08,501,2018 전주비빔밥축제,전주비빔밥축제,860,문화축제
34857,2023-08,444,2018 종로한복축제,종로한복축제,410,문화축제
34858,2023-08,1094,2019 강남페스티벌,강남페스티벌,1920,문화축제
34859,2023-08,609,2019 고양가을꽃축제,고양가을꽃축제,620,문화축제
34860,2023-08,597,2019 고양국제꽃박람회,고양국제꽃박람회,730,문화축제
34861,2023-08,602,2019 고양행주문화제,고양행주문화제,100,문화축제
34862,2023-08,610,2019 고양호수예술축제,고양호수예술축제,1210,문화축제
34863,2023-08,863,2019 곶자왈 반딧불이 축제,곶자왈반딧불이축제,80,문화축제
34864,2023-08,306,2019 군포철쭉축제,군포철쭉축제,200,문화축제
34865,2023-08,223,2019 금정산성축제,금정산성축제,80,문화축제
34866,2023-08,975,2019 대구약령시한방문화축제,대구약령시한방문화축제,70,문화축제
34867,2023-08,873,2019 대전 서구힐링 아트페스티벌,대전서구힐링아트페스티벌,1600,문화축제
34868,2023-08,836,2019 대한민국 국향대전,대한민국국향대전,40,문화축제
34869,2023-08,121,2019 동작복지나눔축제,동작복지나눔축제,190,문화축제
34870,2023-08,150,2019 보정역생활문화센터 <청춘파티  - 특별프로그램>,보정역생활문화센터,190,문화축제
34871,2023-08,889,2019 부평풍물대축제,부평풍물대축제,3380,문화축제
34872,2023-08,887,2019 서귀포과학문화축전,서귀포과학문화축전,210,문화축제
34873,2023-08,384,2019 수원등불축제,수원등불축제,27,문화축제
34874,2023-08,382,2019 수원연극축제,수원연극축제,90,문화축제
34875,2023-08,365,2019 순천 푸드앤아트 페스티벌,순천푸드앤아트페스티벌,470,문화축제
34876,2023-08,1057,2019 안성맞춤 남사당 바우덕이축제,안성맞춤남사당바우덕이축제,720,문화축제
34877,2023-08,1047,2019 양주 천만송이 천일홍 축제,양주천만송이천일홍축제,70,문화축제
34878,2023-08,980,2019 여주오곡나루축제(취소),여주오곡나루축제,1320,문화축제
34879,2023-08,36,2019 예천세계활축제,예천세계활축제,19,문화축제
34880,2023-08,387,2019 음식 문화축제,음식문화축제,100,문화축제
34881,2023-08,54,2019 정읍벚꽃축제,정읍벚꽃축제,30,문화축제
34882,2023-08,462,2019 제8회 서울동화축제,서울동화축제,60,문화축제
34883,2023-08,864,2019 제주 메밀축제,제주메밀축제,30,문화축제
34884,2023-08,664,2019 제주들불축제,제주들불축제,600,문화축제
34885,2023-08,665,2019 제주왕벚꽃축제,제주왕벚꽃축제,38,문화축제
34886,2023-08,252,2019 중딩영화제,중딩영화제,18,문화축제
34887,2023-08,400,2019 진안홍삼축제,진안홍삼축제,6040,문화축제
34888,2023-08,247,2019 청소년미디어캠프,청소년미디어캠프,15,문화축제
34889,2023-08,518,2019 태화강 국제 재즈페스티벌,태화강국제재즈페스티벌,18,문화축제
34890,2023-08,62,2019 하하페스티벌,하하페스티벌,570,문화축제
34891,2023-08,292,2019겨울공주군밤축제,겨울공주군밤축제,40,문화축제
34892,2023-08,189,2019계룡세계軍문화축제,계룡세계군문화축제,28,문화축제
34893,2023-08,513,2019년 울산 마두희 축제,울산마두희축제,30,문화축제
34894,2023-08,506,2019년 제15회 해운대모래축제,해운대모래축제,1700,문화축제
34895,2023-08,64,2019년 한마음 건강걷기대회,한마음건강걷기대회,26,문화축제
34896,2023-08,867,2019년도 거문오름국제트레킹,거문오름국제트레킹,18,문화축제
34897,2023-08,487,2019청도반시축제,청도반시축제,480,문화축제
34898,2023-08,488,2019청도세계코미디아트페스티벌,청도세계코미디아트페스티벌,50,문화축제
34900,2023-08,1106,2019합천 바캉스축제,바캉스축제,50,문화축제
34901,2023-08,1034,DMZ마라톤대회,DMZ마라톤대회,30,문화축제
34902,2023-08,1092,K-POP 뮤직페스티벌,KPOP뮤직페스티벌,12,문화축제
34903,2023-08,910,「제34회 대구약령시 한방문화축제」,대구약령시한방문화축제,70,문화축제
34904,2023-08,917,「제35회 대구약령시 한방문화축제」,대구약령시한방문화축제,70,문화축제
34905,2023-08,924,「제36회 대구약령시 한방문화축제」,대구약령시한방문화축제,70,문화축제
34906,2023-08,931,「제37회 대구약령시 한방문화축제」,대구약령시한방문화축제,70,문화축제
34907,2023-08,235,가야문화축제,가야문화축제,300,문화축제
34908,2023-08,475,가족사랑 아이스축제,가족사랑아이스축제,60,문화축제
34909,2023-08,845,가파도청보리축제,가파도청보리축제,120,문화축제
34910,2023-08,1120,간절곶해맞이,간절곶해맞이,20,문화축제
34911,2023-08,86,감물감자축제,감물감자축제,12,문화축제
34912,2023-08,1046,감악문화축제,감악문화축제,80,문화축제
34913,2023-08,366,감천문화마을 골목축제,감천문화마을골목축제,100,문화축제
34914,2023-08,111,강감찬축제,강감찬축제,400,문화축제
34915,2023-08,187,강경젓갈축제,강경젓갈축제,2540,문화축제
34916,2023-08,586,강동선사문화축제,강동선사문화축제,630,문화축제
34917,2023-08,763,강릉단오제,강릉단오제,2810,문화축제
34918,2023-08,764,강릉커피축제,강릉커피축제,5810,문화축제
34919,2023-08,115,개천예술제,개천예술제,2750,문화축제
34920,2023-08,359,거문도백도은빛바다체험행사,거문도백도은빛바다체험행사,5950,문화축제
34921,2023-08,436,거제 섬꽃축제,거제섬꽃축제,460,문화축제
34922,2023-08,430,거제 옥포대첩 축제,거제옥포대첩축제,30,문화축제
34923,2023-08,434,거제맥주축제,거제맥주축제,22750,문화축제
34924,2023-08,614,거창한마당대축제,거창한마당대축제,140,문화축제
34925,2023-08,767,경산갓바위소원성취축제,경산갓바위소원성취축제,730,문화축제
34926,2023-08,766,경산자인단오제,경산자인단오제,110,문화축제
34927,2023-08,376,경주세계차문화축제,경주세계차문화축제,180,문화축제
34928,2023-08,760,계룡군문화축제,계룡군문화축제,3640,문화축제
34929,2023-08,103,계양산국악제,계양산국악제,14,문화축제
34930,2023-08,753,고려산진달래축제,고려산진달래축제,50,문화축제
34931,2023-08,27,고로쇠축제,고로쇠축제,17,문화축제
34932,2023-08,738,고서포도축제,고서포도축제,4870,문화축제
34933,2023-08,1105,고스트파크,고스트파크,810,문화축제
34934,2023-08,326,고창갯벌축제,고창갯벌축제,530,문화축제
34935,2023-08,322,고창모양성제,고창모양성제,700,문화축제
34936,2023-08,325,고창복분자와수박축제,고창복분자와수박축제,340,문화축제
34937,2023-08,323,고창청보리밭축제,고창청보리밭축제,760,문화축제
34938,2023-08,328,고창해풍고추축제,고창해풍고추축제,3540,문화축제
