SEQ_NO,SCCNT_YM,ORIGIN_ID,REPRSNT_KWRD_NM,SRCHWRD_NM,SCCNT_VALUE,ORIGIN_CL_NM
25744,"2022-02","679","청룡문화제","청룡문화제",15,"문화축제"
24729,"2022-02","111","강감찬축제","강감찬축제",20,"문화축제"
24526,"2022-02","997","2014 안양시민축제","안양시민축제",50,"문화축제"
24529,"2022-02","992","2015 안양 시민축제","안양시민축제",50,"문화축제"
24532,"2022-02","396","2016 대가야체험축제","대가야체험축제",38,"문화축제"
24535,"2022-02","945","2016 대구약령시한방문화축제","대구약령시한방문화축제",60,"문화축제"
24538,"2022-02","994","2016 안양 시민축제","안양시민축제",50,"문화축제"
24541,"2022-02","996","2016 제5회 안양공공예술프로젝트","안양공공예술프로젝트",13,"문화축제"
24544,"2022-02","819","2016 평생학습 박람회 & 제6회 도서관책문화축제","평생학습박람회",50,"문화축제"
24547,"2022-02","283","2017 겨울공주군밤축제","겨울공주군밤축제",120,"문화축제"
24550,"2022-02","952","2017 대구약령시한방문화축제","대구약령시한방문화축제",60,"문화축제"
24553,"2022-02","1001","2017 안양 시민축제","안양시민축제",50,"문화축제"
24555,"2022-02","998","2017 안양충훈벚꽃축제","안양충훈벚꽃축제",15,"문화축제"
24558,"2022-02","628","2017 얼음나라화천 산천어축제","얼음나라화천산천어축제",130,"문화축제"
24561,"2022-02","4","2017 영동곶감축제","영동곶감축제",390,"문화축제"
24563,"2022-02","289","2018 계룡산벚꽃축제","계룡산벚꽃축제",20,"문화축제"
24566,"2022-02","287","2018 계룡산산신제","계룡산산신제",17,"문화축제"
24569,"2022-02","286","2018 공주 석장리 세계구석기축제","공주석장리세계구석기축제",40,"문화축제"
24572,"2022-02","962","2018 대구약령시한방문화축제","대구약령시한방문화축제",60,"문화축제"
24574,"2022-02","290","2018 마곡사토요무대","마곡사토요무대",13,"문화축제"
24577,"2022-02","1123","2018 무안황토갯벌축제","무안황토갯벌축제",19,"문화축제"
24580,"2022-02","799","2018 안산 김홍도축제","안산김홍도축제",15,"문화축제"
24582,"2022-02","1005","2018 안양 시민축제","안양시민축제",50,"문화축제"
24584,"2022-02","1002","2018 안양충훈벚꽃축제","안양충훈벚꽃축제",15,"문화축제"
24586,"2022-02","313","2018 연제고분판타지축제","연제고분판타지축제",13,"문화축제"
24588,"2022-02","285","2018 웅진성수문병 근무교대식","웅진성수문병근무교대식",42,"문화축제"
24590,"2022-02","501","2018 전주비빔밥축제","전주비빔밥축제",100,"문화축제"
24593,"2022-02","1056","2018 정선고드름축제","정선고드름축제",49,"문화축제"
24595,"2022-02","444","2018 종로한복축제","종로한복축제",130,"문화축제"
24598,"2022-02","1094","2019 강남페스티벌","강남페스티벌",50,"문화축제"
24600,"2022-02","298","2019 계룡산벚꽃축제","계룡산벚꽃축제",20,"문화축제"
24603,"2022-02","296","2019 계룡산산신제","계룡산산신제",17,"문화축제"
24606,"2022-02","609","2019 고양가을꽃축제","고양가을꽃축제",30,"문화축제"
24609,"2022-02","597","2019 고양국제꽃박람회","고양국제꽃박람회",750,"문화축제"
24612,"2022-02","602","2019 고양행주문화제","고양행주문화제",34,"문화축제"
24615,"2022-02","610","2019 고양호수예술축제","고양호수예술축제",50,"문화축제"
24619,"2022-02","863","2019 곶자왈 반딧불이 축제","곶자왈반딧불이축제",38,"문화축제"
24622,"2022-02","306","2019 군포철쭉축제","군포철쭉축제",80,"문화축제"
24626,"2022-02","975","2019 대구약령시한방문화축제","대구약령시한방문화축제",60,"문화축제"
24629,"2022-02","873","2019 대전 서구힐링 아트페스티벌","대전서구힐링아트페스티벌",40,"문화축제"
24632,"2022-02","836","2019 대한민국 국향대전","대한민국국향대전",17,"문화축제"
24638,"2022-02","150","2019 보정역생활문화센터 <청춘파티  - 특별프로그램>","보정역생활문화센터",110,"문화축제"
24641,"2022-02","889","2019 부평풍물대축제","부평풍물대축제",120,"문화축제"
24643,"2022-02","859","2019 사려니숲 에코힐링 체험","사려니숲에코힐링체험",13,"문화축제"
24646,"2022-02","382","2019 수원연극축제","수원연극축제",130,"문화축제"
24649,"2022-02","365","2019 순천 푸드앤아트 페스티벌","순천푸드앤아트페스티벌",60,"문화축제"
24652,"2022-02","1057","2019 안성맞춤 남사당 바우덕이축제","안성맞춤남사당바우덕이축제",11,"문화축제"
24655,"2022-02","980","2019 여주오곡나루축제(취소)","여주오곡나루축제",70,"문화축제"
24658,"2022-02","36","2019 예천세계활축제","예천세계활축제",16,"문화축제"
24660,"2022-02","294","2019 웅진성수문병 근무교대식","웅진성수문병근무교대식",42,"문화축제"
24662,"2022-02","54","2019 정읍벚꽃축제","정읍벚꽃축제",90,"문화축제"
24665,"2022-02","462","2019 제8회 서울동화축제","서울동화축제",50,"문화축제"
24667,"2022-02","864","2019 제주 메밀축제","제주메밀축제",13,"문화축제"
24670,"2022-02","664","2019 제주들불축제","제주들불축제",9280,"문화축제"
24673,"2022-02","665","2019 제주왕벚꽃축제","제주왕벚꽃축제",280,"문화축제"
24677,"2022-02","400","2019 진안홍삼축제","진안홍삼축제",110,"문화축제"
24680,"2022-02","292","2019겨울공주군밤축제","겨울공주군밤축제",120,"문화축제"
24683,"2022-02","513","2019년 울산 마두희 축제","울산마두희축제",30,"문화축제"
24686,"2022-02","506","2019년 제15회 해운대모래축제","해운대모래축제",330,"문화축제"
24689,"2022-02","487","2019청도반시축제","청도반시축제",18,"문화축제"
24692,"2022-02","485","2019청도소싸움축제","청도소싸움축제",200,"문화축제"
24694,"2022-02","694","2019컬러풀대구페스티벌","컬러풀대구페스티벌",14,"문화축제"
24698,"2022-02","226","4.19혁명 국민문화제 2019","419혁명국민문화제",32,"문화축제"
24702,"2022-02","910","「제34회 대구약령시 한방문화축제」","대구약령시한방문화축제",60,"문화축제"
24705,"2022-02","917","「제35회 대구약령시 한방문화축제」","대구약령시한방문화축제",60,"문화축제"
24708,"2022-02","924","「제36회 대구약령시 한방문화축제」","대구약령시한방문화축제",60,"문화축제"
24711,"2022-02","931","「제37회 대구약령시 한방문화축제」","대구약령시한방문화축제",60,"문화축제"
24714,"2022-02","235","가야문화축제","가야문화축제",210,"문화축제"
24717,"2022-02","845","가파도청보리축제","가파도청보리축제",3500,"문화축제"
24720,"2022-02","154","간재미 축제","간재미축제",11,"문화축제"
24726,"2022-02","299","갑사황매화 축제","갑사황매화축제",18,"문화축제"
24732,"2022-02","187","강경젓갈축제","강경젓갈축제",200,"문화축제"
24735,"2022-02","586","강동선사문화축제","강동선사문화축제",70,"문화축제"
24738,"2022-02","763","강릉단오제","강릉단오제",1120,"문화축제"
24741,"2022-02","764","강릉커피축제","강릉커피축제",270,"문화축제"
24743,"2022-02","527","개암동벚꽃축제","개암동벚꽃축제",20,"문화축제"
24746,"2022-02","115","개천예술제","개천예술제",170,"문화축제"
24749,"2022-02","436","거제 섬꽃축제","거제섬꽃축제",230,"문화축제"
24751,"2022-02","434","거제맥주축제","거제맥주축제",12,"문화축제"
24753,"2022-02","615","거창크리스마스트리문화축제","거창크리스마스트리문화축제",13,"문화축제"
24755,"2022-02","614","거창한마당대축제","거창한마당대축제",20,"문화축제"
24758,"2022-02","101","겨울왕국 제천페스티벌","겨울왕국제천페스티벌",58,"문화축제"
24761,"2022-02","766","경산자인단오제","경산자인단오제",60,"문화축제"
24764,"2022-02","760","계룡군문화축제","계룡군문화축제",90,"문화축제"
24766,"2022-02","171","계룡산벚꽃축제","계룡산벚꽃축제",20,"문화축제"
24769,"2022-02","280","계룡산산신제","계룡산산신제",17,"문화축제"
24772,"2022-02","103","계양산국악제","계양산국악제",20,"문화축제"
24775,"2022-02","753","고려산진달래축제","고려산진달래축제",260,"문화축제"
24778,"2022-02","27","고로쇠축제","고로쇠축제",270,"문화축제"
24781,"2022-02","1105","고스트파크","고스트파크",290,"문화축제"
24784,"2022-02","374","고싸움놀이축제","고싸움놀이축제",10,"문화축제"
24786,"2022-02","616","고싸움놀이축제(1차)","고싸움놀이축제",10,"문화축제"
24788,"2022-02","617","고싸움놀이축제(2차)","고싸움놀이축제",10,"문화축제"
24790,"2022-02","326","고창갯벌축제","고창갯벌축제",60,"문화축제"
24793,"2022-02","322","고창모양성제","고창모양성제",30,"문화축제"
24796,"2022-02","325","고창복분자와수박축제","고창복분자와수박축제",30,"문화축제"
24799,"2022-02","323","고창청보리밭축제","고창청보리밭축제",560,"문화축제"
24803,"2022-02","490","고흥 우주항공 축제","고흥우주항공축제",20,"문화축제"
24806,"2022-02","1087","곡성세계장미축제","곡성세계장미축제",140,"문화축제"
24812,"2022-02","1031","곰취축제","곰취축제",19,"문화축제"
24816,"2022-02","170","공주 석장리 세계구석기축제","공주석장리세계구석기축제",40,"문화축제"
24820,"2022-02","1124","광양매화축제","광양매화축제",44000,"문화축제"
24823,"2022-02","1127","광양숯불구이축제","광양숯불구이축제",45,"문화축제"
24826,"2022-02","1126","광양전어축제","광양전어축제",49,"문화축제"
24829,"2022-02","749","광주 남한산성문화제","광주남한산성문화제",30,"문화축제"
24832,"2022-02","447","광주남한산성문화제","광주남한산성문화제",30,"문화축제"
24835,"2022-02","620","광주세계김치축제","광주세계김치축제",160,"문화축제"
24838,"2022-02","750","광주왕실도자기축제","광주왕실도자기축제",50,"문화축제"
24841,"2022-02","619","광주프린지페스티벌","광주프린지페스티벌",70,"문화축제"
24844,"2022-02","83","괴산고추축제","괴산고추축제",130,"문화축제"
24848,"2022-02","900","군산시간여행축제","군산시간여행축제",70,"문화축제"
24851,"2022-02","448","군포철쭉축제","군포철쭉축제",80,"문화축제"
24856,"2022-02","196","금산인삼축제","금산인삼축제",760,"문화축제"
24860,"2022-02","835","금호강 바람소리길 축제","금호강바람소리길축제",40,"문화축제"
24863,"2022-02","191","기지시줄다리기 민속축제","기지시줄다리기민속축제",16,"문화축제"
24866,"2022-02","967","김광석노래부르기","김광석노래부르기",17,"문화축제"
24868,"2022-02","973","김광석추모콘서트","김광석추모콘서트",12,"문화축제"
24873,"2022-02","367","김천국제가족연극제","김천국제가족연극제",70,"문화축제"
24875,"2022-02","368","김천예술제","김천예술제",13,"문화축제"
24877,"2022-02","237","김해독서대전","김해독서대전",15,"문화축제"
24880,"2022-02","236","김해분청도자기축제","김해분청도자기축제",70,"문화축제"
24884,"2022-02","630","남도음식문화큰잔치","남도음식문화큰잔치",30,"문화축제"
24891,"2022-02","305","노원탈축제","노원탈축제",40,"문화축제"
24894,"2022-02","186","논산딸기축제","논산딸기축제",47320,"문화축제"
24897,"2022-02","29","단감축제","단감축제",15,"문화축제"
24900,"2022-02","440","단기4351년 개천절 대제전","개천절대제전",30,"문화축제"
24904,"2022-02","480","단종문화제","단종문화제",160,"문화축제"
24907,"2022-02","466","달마고도 걷기축제","달마고도걷기축제",47,"문화축제"
24910,"2022-02","39","달맞이축제","달맞이축제",40,"문화축제"
24914,"2022-02","712","달집태우기","달집태우기",5220,"문화축제"
24917,"2022-02","733","담양대나무축제","담양대나무축제",250,"문화축제"
24920,"2022-02","734","담양산타축제","담양산타축제",70,"문화축제"
24923,"2022-02","1082","대관령눈꽃축제","대관령눈꽃축제",7210,"문화축제"
24927,"2022-02","697","대구국제뮤지컬페스티벌","대구국제뮤지컬페스티벌",270,"문화축제"
24930,"2022-02","696","대구국제오페라축제","대구국제오페라축제",30,"문화축제"
24933,"2022-02","695","대구국제재즈축제","대구국제재즈축제",15,"문화축제"
24935,"2022-02","705","대구국제패션문화페스티벌","대구국제패션문화페스티벌",14,"문화축제"
24937,"2022-02","957","대구스트리트 모터 페스티벌","대구스트리트모터페스티벌",16,"문화축제"
24940,"2022-02","700","대구약령시한방문화축제","대구약령시한방문화축제",60,"문화축제"
24943,"2022-02","702","대구치맥페스티벌","대구치맥페스티벌",460,"문화축제"
24946,"2022-02","701","대구포크페스티벌","대구포크페스티벌",20,"문화축제"
24949,"2022-02","426","대금산진달래축제","대금산진달래축제",50,"문화축제"
24955,"2022-02","1015","독일마을 맥주축제","독일마을맥주축제",90,"문화축제"
24958,"2022-02","481","동강국제사진제","동강국제사진제",30,"문화축제"
24961,"2022-02","768","동래읍성역사축제","동래읍성역사축제",110,"문화축제"
24963,"2022-02","204","동백꽃 주꾸미 축제","동백꽃주꾸미축제",12,"문화축제"
24966,"2022-02","911","동성로축제","동성로축제",19,"문화축제"
24970,"2022-02","907","동해무릉제","동해무릉제",18,"문화축제"
24974,"2022-02","465","땅끝매화축제","땅끝매화축제",110,"문화축제"
24977,"2022-02","1096","롤링나이트 2019","롤링나이트",10,"문화축제"
24980,"2022-02","178","류방택 별 축제","류방택별축제",13,"문화축제"
24985,"2022-02","660","마산만날제","마산만날제",90,"문화축제"
24989,"2022-02","629","명량대첩축제","명량대첩축제",60,"문화축제"
24994,"2022-02","892","목포항구축제","목포항구축제",100,"문화축제"
24999,"2022-02","579","문경사과축제","문경사과축제",220,"문화축제"
25002,"2022-02","578","문경오미자축제","문경오미자축제",40,"문화축제"
25005,"2022-02","576","문경찻사발축제","문경찻사발축제",320,"문화축제"
25008,"2022-02","1054","민둥산억새꽃축제","민둥산억새꽃축제",120,"문화축제"
25011,"2022-02","128","밀양아리랑대축제","밀양아리랑대축제",100,"문화축제"
25014,"2022-02","432","바다로 세계로","바다로세계로",30,"문화축제"
25017,"2022-02","496","반딧불축제","반딧불축제",120,"문화축제"
25022,"2022-02","1033","배꼽축제","배꼽축제",110,"문화축제"
25025,"2022-02","754","배내골고로쇠축제","배내골고로쇠축제",110,"문화축제"
25028,"2022-02","756","배내골사과축제","배내골사과축제",22,"문화축제"
25030,"2022-02","80","백마권역겨울놀이축제","백마권역겨울놀이축제",22,"문화축제"
25035,"2022-02","38","백제문화제","백제문화제",1290,"문화축제"
25038,"2022-02","522","벌교꼬막축제","벌교꼬막축제",280,"문화축제"
25041,"2022-02","640","법성포단오제","법성포단오제",16,"문화축제"
25044,"2022-02","173","보령머드축제","보령머드축제",2730,"문화축제"
25049,"2022-02","519","보성다향대축제","보성다향대축제",100,"문화축제"
25053,"2022-02","521","보성차밭 빛축제","보성차밭빛축제",60,"문화축제"
25056,"2022-02","1116","보은대추축제","보은대추축제",130,"문화축제"
25059,"2022-02","732","봉화송이축제","봉화송이축제",50,"문화축제"
25062,"2022-02","731","봉화은어축제","봉화은어축제",290,"문화축제"
25065,"2022-02","780","부산 차이나타운특구 문화축제","부산차이나타운특구문화축제",21,"문화축제"
25068,"2022-02","1108","부산고등어축제","부산고등어축제",90,"문화축제"
25071,"2022-02","743","부산국제록페스티벌","부산국제록페스티벌",60,"문화축제"
25074,"2022-02","742","부산바다축제","부산바다축제",80,"문화축제"
25077,"2022-02","744","부산불꽃축제","부산불꽃축제",1790,"문화축제"
25080,"2022-02","724","부산자갈치축제","부산자갈치축제",50,"문화축제"
25083,"2022-02","726","부산크리스마스트리문화축제","부산크리스마스트리문화축제",38,"문화축제"
25087,"2022-02","747","부산항축제","부산항축제",100,"문화축제"
25090,"2022-02","525","부안마실축제","부안마실축제",100,"문화축제"
25093,"2022-02","37","부여서동연꽃축제","부여서동연꽃축제",300,"문화축제"
25096,"2022-02","450","부천국제만화축제","부천국제만화축제",180,"문화축제"
25099,"2022-02","906","부천국제애니메이션페스티벌","부천국제애니메이션페스티벌",230,"문화축제"
25102,"2022-02","901","부천국제판타스틱영화제","부천국제판타스틱영화제",2050,"문화축제"
25106,"2022-02","641","불갑산상사화축제","불갑산상사화축제",20,"문화축제"
25109,"2022-02","75","블랙뮤직페스티벌","블랙뮤직페스티벌",40,"문화축제"
25112,"2022-02","108","사선문화제","사선문화제",29,"문화축제"
25117,"2022-02","110","산타축제","산타축제",11,"문화축제"
25119,"2022-02","181","삼길포우럭축제","삼길포우럭축제",30,"문화축제"
25122,"2022-02","389","삼척맹방유채꽃축제","삼척맹방유채꽃축제",90,"문화축제"
25125,"2022-02","391","삼척장미축제","삼척장미축제",160,"문화축제"
25127,"2022-02","392","삼척정월대보름축제","삼척정월대보름축제",30,"문화축제"
25129,"2022-02","390","삼척황영조국제마라톤대회","삼척황영조국제마라톤대회",11,"문화축제"
25131,"2022-02","559","삽교호조개구이 축제","삽교호조개구이축제",190,"문화축제"
25135,"2022-02","844","서귀포 유채꽃 국제걷기대회","서귀포유채꽃국제걷기대회",100,"문화축제"
