SEQ_NO,SCCNT_YM,ORIGIN_ID,REPRSNT_KWRD_NM,SRCHWRD_NM,SCCNT_VALUE,ORIGIN_CL_NM
"18759","2021-02","763","강릉단오제","강릉단오제","1060","문화축제"
"18302","2021-02","997","2014 안양시민축제","안양시민축제","30","문화축제"
"18308","2021-02","992","2015 안양 시민축제","안양시민축제","30","문화축제"
"18314","2021-02","396","2016 대가야체험축제","대가야체험축제","20","문화축제"
"18320","2021-02","945","2016 대구약령시한방문화축제","대구약령시한방문화축제","18","문화축제"
"18326","2021-02","994","2016 안양 시민축제","안양시민축제","30","문화축제"
"18332","2021-02","996","2016 제5회 안양공공예술프로젝트","안양공공예술프로젝트","30","문화축제"
"18338","2021-02","819","2016 평생학습 박람회 & 제6회 도서관책문화축제","평생학습박람회","38","문화축제"
"18344","2021-02","283","2017 겨울공주군밤축제","겨울공주군밤축제","160","문화축제"
"18348","2021-02","952","2017 대구약령시한방문화축제","대구약령시한방문화축제","18","문화축제"
"18355","2021-02","1001","2017 안양 시민축제","안양시민축제","30","문화축제"
"18364","2021-02","628","2017 얼음나라화천 산천어축제","얼음나라화천산천어축제","360","문화축제"
"18370","2021-02","4","2017 영동곶감축제","영동곶감축제","450","문화축제"
"18378","2021-02","289","2018 계룡산벚꽃축제","계룡산벚꽃축제","20","문화축제"
"18383","2021-02","287","2018 계룡산산신제","계룡산산신제","30","문화축제"
"18388","2021-02","286","2018 공주 석장리 세계구석기축제","공주석장리세계구석기축제","39","문화축제"
"18394","2021-02","962","2018 대구약령시한방문화축제","대구약령시한방문화축제","18","문화축제"
"18401","2021-02","1123","2018 무안황토갯벌축제","무안황토갯벌축제","17","문화축제"
"18408","2021-02","799","2018 안산 김홍도축제","안산김홍도축제","15","문화축제"
"18414","2021-02","1005","2018 안양 시민축제","안양시민축제","30","문화축제"
"18425","2021-02","285","2018 웅진성수문병 근무교대식","웅진성수문병근무교대식","11","문화축제"
"18433","2021-02","501","2018 전주비빔밥축제","전주비빔밥축제","110","문화축제"
"18439","2021-02","1056","2018 정선고드름축제","정선고드름축제","16","문화축제"
