SEQ_NO,SCCNT_YM,ORIGIN_ID,REPRSNT_KWRD_NM,SRCHWRD_NM,SCCNT_VALUE,ORIGIN_CL_NM
"21794","2021-09","29","단감축제","단감축제","110","문화축제"
"21370","2021-09","997","2014 안양시민축제","안양시민축제","210","문화축제"
"21373","2021-09","992","2015 안양 시민축제","안양시민축제","210","문화축제"
"21377","2021-09","396","2016 대가야체험축제","대가야체험축제","50","문화축제"
"21380","2021-09","945","2016 대구약령시한방문화축제","대구약령시한방문화축제","1070","문화축제"
"21383","2021-09","994","2016 안양 시민축제","안양시민축제","210","문화축제"
"21386","2021-09","996","2016 제5회 안양공공예술프로젝트","안양공공예술프로젝트","40","문화축제"
"21389","2021-09","819","2016 평생학습 박람회 & 제6회 도서관책문화축제","평생학습박람회","500","문화축제"
"21393","2021-09","952","2017 대구약령시한방문화축제","대구약령시한방문화축제","1070","문화축제"
"21396","2021-09","627","2017 물의나라화천 쪽배축제","물의나라화천쪽배축제","14","문화축제"
"21399","2021-09","1001","2017 안양 시민축제","안양시민축제","210","문화축제"
"21402","2021-09","628","2017 얼음나라화천 산천어축제","얼음나라화천산천어축제","450","문화축제"
"21405","2021-09","4","2017 영동곶감축제","영동곶감축제","40","문화축제"
"21408","2021-09","385","2017 음식 문화축제","음식문화축제","30","문화축제"
"21411","2021-09","287","2018 계룡산산신제","계룡산산신제","40","문화축제"
"21414","2021-09","286","2018 공주 석장리 세계구석기축제","공주석장리세계구석기축제","80","문화축제"
"21418","2021-09","962","2018 대구약령시한방문화축제","대구약령시한방문화축제","1070","문화축제"
"21423","2021-09","1123","2018 무안황토갯벌축제","무안황토갯벌축제","70","문화축제"
"21424","2021-09","284","2018 백제어울마당","백제어울마당","13","문화축제"
"21427","2021-09","799","2018 안산 김홍도축제","안산김홍도축제","30","문화축제"
"21430","2021-09","1005","2018 안양 시민축제","안양시민축제","210","문화축제"
"21433","2021-09","285","2018 웅진성수문병 근무교대식","웅진성수문병근무교대식","18","문화축제"
"21436","2021-09","386","2018 음식 문화축제","음식문화축제","30","문화축제"
"21439","2021-09","501","2018 전주비빔밥축제","전주비빔밥축제","1050","문화축제"
"21444","2021-09","444","2018 종로한복축제","종로한복축제","1060","문화축제"
"21447","2021-09","1094","2019 강남페스티벌","강남페스티벌","890","문화축제"
"21449","2021-09","1093","2019 강남페스티벌 패션쇼","강남페스티벌패션쇼","30","문화축제"
"21452","2021-09","296","2019 계룡산산신제","계룡산산신제","40","문화축제"
"21455","2021-09","609","2019 고양가을꽃축제","고양가을꽃축제","8260","문화축제"
"21458","2021-09","597","2019 고양국제꽃박람회","고양국제꽃박람회","530","문화축제"
"21461","2021-09","602","2019 고양행주문화제","고양행주문화제","50","문화축제"
"21464","2021-09","610","2019 고양호수예술축제","고양호수예술축제","1790","문화축제"
"21468","2021-09","863","2019 곶자왈 반딧불이 축제","곶자왈반딧불이축제","130","문화축제"
"21471","2021-09","306","2019 군포철쭉축제","군포철쭉축제","60","문화축제"
"21474","2021-09","223","2019 금정산성축제","금정산성축제","14","문화축제"
"21477","2021-09","975","2019 대구약령시한방문화축제","대구약령시한방문화축제","1070","문화축제"
"21480","2021-09","873","2019 대전 서구힐링 아트페스티벌","대전서구힐링아트페스티벌","29","문화축제"
"21483","2021-09","836","2019 대한민국 국향대전","대한민국국향대전","80","문화축제"
"21487","2021-09","121","2019 동작복지나눔축제","동작복지나눔축제","250","문화축제"
"21488","2021-09","293","2019 백제어울마당","백제어울마당","13","문화축제"
"21489","2021-09","862","2019 보목자리돔축제","보목자리돔축제","10","문화축제"
"21492","2021-09","150","2019 보정역생활문화센터 <청춘파티  - 특별프로그램>","보정역생활문화센터","220","문화축제"
"21495","2021-09","889","2019 부평풍물대축제","부평풍물대축제","1050","문화축제"
"21498","2021-09","384","2019 수원등불축제","수원등불축제","35","문화축제"
"21501","2021-09","382","2019 수원연극축제","수원연극축제","260","문화축제"
"21504","2021-09","365","2019 순천 푸드앤아트 페스티벌","순천푸드앤아트페스티벌","120","문화축제"
"21508","2021-09","1057","2019 안성맞춤 남사당 바우덕이축제","안성맞춤남사당바우덕이축제","60","문화축제"
"21510","2021-09","1047","2019 양주 천만송이 천일홍 축제","양주천만송이천일홍축제","50","문화축제"
"21513","2021-09","980","2019 여주오곡나루축제(취소)","여주오곡나루축제","560","문화축제"
"21516","2021-09","36","2019 예천세계활축제","예천세계활축제","240","문화축제"
"21517","2021-09","294","2019 웅진성수문병 근무교대식","웅진성수문병근무교대식","18","문화축제"
"21520","2021-09","387","2019 음식 문화축제","음식문화축제","30","문화축제"
"21521","2021-09","71","2019 의정부과학축제","의정부과학축제","18","문화축제"
"21525","2021-09","462","2019 제8회 서울동화축제","서울동화축제","30","문화축제"
"21528","2021-09","864","2019 제주 메밀축제","제주메밀축제","60","문화축제"
"21531","2021-09","664","2019 제주들불축제","제주들불축제","1000","문화축제"
"21534","2021-09","665","2019 제주왕벚꽃축제","제주왕벚꽃축제","50","문화축제"
"21537","2021-09","400","2019 진안홍삼축제","진안홍삼축제","990","문화축제"
"21539","2021-09","256","2019 청소년창작영상제","청소년창작영상제","40","문화축제"
"21541","2021-09","518","2019 태화강 국제 재즈페스티벌","태화강국제재즈페스티벌","14","문화축제"
"21546","2021-09","513","2019년 울산 마두희 축제","울산마두희축제","30","문화축제"
"21549","2021-09","506","2019년 제15회 해운대모래축제","해운대모래축제","410","문화축제"
"21551","2021-09","514","2019년 한글문화예술제","한글문화예술제","30","문화축제"
"21556","2021-09","487","2019청도반시축제","청도반시축제","4230","문화축제"
"21561","2021-09","485","2019청도소싸움축제","청도소싸움축제","190","문화축제"
"21564","2021-09","694","2019컬러풀대구페스티벌","컬러풀대구페스티벌","20","문화축제"
"21566","2021-09","1034","DMZ마라톤대회","DMZ마라톤대회","42","문화축제"
"21569","2021-09","910","「제34회 대구약령시 한방문화축제」","대구약령시한방문화축제","1070","문화축제"
"21572","2021-09","917","「제35회 대구약령시 한방문화축제」","대구약령시한방문화축제","1070","문화축제"
"21575","2021-09","924","「제36회 대구약령시 한방문화축제」","대구약령시한방문화축제","1070","문화축제"
"21578","2021-09","931","「제37회 대구약령시 한방문화축제」","대구약령시한방문화축제","1070","문화축제"
