SEQ_NO,SCCNT_YM,ORIGIN_ID,REPRSNT_KWRD_NM,SRCHWRD_NM,SCCNT_VALUE,ORIGIN_CL_NM
42366,2024-03,997,2014 안양시민축제,안양시민축제,60,문화축제
42367,2024-03,992,2015 안양 시민축제,안양시민축제,60,문화축제
42368,2024-03,396,2016 대가야체험축제,대가야체험축제,450,문화축제
42369,2024-03,945,2016 대구약령시한방문화축제,대구약령시한방문화축제,240,문화축제
42370,2024-03,994,2016 안양 시민축제,안양시민축제,60,문화축제
42371,2024-03,996,2016 제5회 안양공공예술프로젝트,안양공공예술프로젝트,60,문화축제
42372,2024-03,819,2016 평생학습 박람회 & 제6회 도서관책문화축제,평생학습박람회,70,문화축제
42373,2024-03,283,2017 겨울공주군밤축제,겨울공주군밤축제,610,문화축제
42374,2024-03,952,2017 대구약령시한방문화축제,대구약령시한방문화축제,240,문화축제
42375,2024-03,1001,2017 안양 시민축제,안양시민축제,60,문화축제
42376,2024-03,998,2017 안양충훈벚꽃축제,안양충훈벚꽃축제,7020,문화축제
42377,2024-03,628,2017 얼음나라화천 산천어축제,얼음나라화천산천어축제,740,문화축제
42378,2024-03,4,2017 영동곶감축제,영동곶감축제,410,문화축제
42379,2024-03,385,2017 음식 문화축제,음식문화축제,40,문화축제
42380,2024-03,289,2018 계룡산벚꽃축제,계룡산벚꽃축제,5900,문화축제
42381,2024-03,287,2018 계룡산산신제,계룡산산신제,290,문화축제
42382,2024-03,286,2018 공주 석장리 세계구석기축제,공주석장리세계구석기축제,240,문화축제
42383,2024-03,962,2018 대구약령시한방문화축제,대구약령시한방문화축제,240,문화축제
42384,2024-03,1123,2018 무안황토갯벌축제,무안황토갯벌축제,40,문화축제
42385,2024-03,284,2018 백제어울마당,백제어울마당,22,문화축제
42386,2024-03,799,2018 안산 김홍도축제,안산김홍도축제,20,문화축제
42387,2024-03,1005,2018 안양 시민축제,안양시민축제,60,문화축제
42388,2024-03,1002,2018 안양충훈벚꽃축제,안양충훈벚꽃축제,7020,문화축제
42389,2024-03,313,2018 연제고분판타지축제,연제고분판타지축제,9880,문화축제
42390,2024-03,285,2018 웅진성수문병 근무교대식,웅진성수문병근무교대식,13,문화축제
42391,2024-03,386,2018 음식 문화축제,음식문화축제,40,문화축제
42392,2024-03,501,2018 전주비빔밥축제,전주비빔밥축제,300,문화축제
42393,2024-03,444,2018 종로한복축제,종로한복축제,120,문화축제
42394,2024-03,1094,2019 강남페스티벌,강남페스티벌,200,문화축제
42395,2024-03,298,2019 계룡산벚꽃축제,계룡산벚꽃축제,5900,문화축제
42396,2024-03,296,2019 계룡산산신제,계룡산산신제,290,문화축제
42397,2024-03,609,2019 고양가을꽃축제,고양가을꽃축제,50,문화축제
42398,2024-03,597,2019 고양국제꽃박람회,고양국제꽃박람회,7730,문화축제
42399,2024-03,602,2019 고양행주문화제,고양행주문화제,500,문화축제
42400,2024-03,610,2019 고양호수예술축제,고양호수예술축제,580,문화축제
42401,2024-03,295,2019 공주 석장리 구석기축제,공주석장리구석기축제,180,문화축제
42402,2024-03,863,2019 곶자왈 반딧불이 축제,곶자왈반딧불이축제,70,문화축제
42403,2024-03,306,2019 군포철쭉축제,군포철쭉축제,11970,문화축제
42404,2024-03,223,2019 금정산성축제,금정산성축제,540,문화축제
42405,2024-03,975,2019 대구약령시한방문화축제,대구약령시한방문화축제,240,문화축제
42406,2024-03,873,2019 대전 서구힐링 아트페스티벌,대전서구힐링아트페스티벌,140,문화축제
42407,2024-03,836,2019 대한민국 국향대전,대한민국국향대전,50,문화축제
42408,2024-03,293,2019 백제어울마당,백제어울마당,22,문화축제
42409,2024-03,862,2019 보목자리돔축제,보목자리돔축제,30,문화축제
42410,2024-03,150,2019 보정역생활문화센터 <청춘파티  - 특별프로그램>,보정역생활문화센터,120,문화축제
42411,2024-03,889,2019 부평풍물대축제,부평풍물대축제,270,문화축제
42412,2024-03,382,2019 수원연극축제,수원연극축제,450,문화축제
42413,2024-03,365,2019 순천 푸드앤아트 페스티벌,순천푸드앤아트페스티벌,110,문화축제
42414,2024-03,1057,2019 안성맞춤 남사당 바우덕이축제,안성맞춤남사당바우덕이축제,120,문화축제
42415,2024-03,1047,2019 양주 천만송이 천일홍 축제,양주천만송이천일홍축제,15,문화축제
42416,2024-03,980,2019 여주오곡나루축제(취소),여주오곡나루축제,240,문화축제
42417,2024-03,36,2019 예천세계활축제,예천세계활축제,19,문화축제
42418,2024-03,294,2019 웅진성수문병 근무교대식,웅진성수문병근무교대식,13,문화축제
42419,2024-03,387,2019 음식 문화축제,음식문화축제,40,문화축제
42420,2024-03,54,2019 정읍벚꽃축제,정읍벚꽃축제,67200,문화축제
42421,2024-03,462,2019 제8회 서울동화축제,서울동화축제,80,문화축제
42422,2024-03,864,2019 제주 메밀축제,제주메밀축제,210,문화축제
42423,2024-03,664,2019 제주들불축제,제주들불축제,2290,문화축제
42424,2024-03,665,2019 제주왕벚꽃축제,제주왕벚꽃축제,3820,문화축제
42425,2024-03,252,2019 중딩영화제,중딩영화제,16,문화축제
42426,2024-03,400,2019 진안홍삼축제,진안홍삼축제,290,문화축제
42427,2024-03,518,2019 태화강 국제 재즈페스티벌,태화강국제재즈페스티벌,20,문화축제
42428,2024-03,292,2019겨울공주군밤축제,겨울공주군밤축제,610,문화축제
42429,2024-03,513,2019년 울산 마두희 축제,울산마두희축제,60,문화축제
42430,2024-03,506,2019년 제15회 해운대모래축제,해운대모래축제,1540,문화축제
42431,2024-03,867,2019년도 거문오름국제트레킹,거문오름국제트레킹,12,문화축제
