SEQ_NO,SCCNT_YM,ORIGIN_ID,REPRSNT_KWRD_NM,SRCHWRD_NM,SCCNT_VALUE,ORIGIN_CL_NM
28558,"2022-08","153","수선화축제","수선화축제",110,"문화축제"
28280,"2022-08","997","2014 안양시민축제","안양시민축제",1740,"문화축제"
28281,"2022-08","992","2015 안양 시민축제","안양시민축제",1740,"문화축제"
28282,"2022-08","990","2016 광복기념음악회","광복기념음악회",68,"문화축제"
28283,"2022-08","396","2016 대가야체험축제","대가야체험축제",30,"문화축제"
28284,"2022-08","945","2016 대구약령시한방문화축제","대구약령시한방문화축제",200,"문화축제"
28285,"2022-08","994","2016 안양 시민축제","안양시민축제",1740,"문화축제"
28286,"2022-08","996","2016 제5회 안양공공예술프로젝트","안양공공예술프로젝트",30,"문화축제"
28287,"2022-08","819","2016 평생학습 박람회 & 제6회 도서관책문화축제","평생학습박람회",260,"문화축제"
28288,"2022-08","283","2017 겨울공주군밤축제","겨울공주군밤축제",40,"문화축제"
28289,"2022-08","1000","2017 광복기념음악회","광복기념음악회",68,"문화축제"
28290,"2022-08","952","2017 대구약령시한방문화축제","대구약령시한방문화축제",200,"문화축제"
28291,"2022-08","627","2017 물의나라화천 쪽배축제","물의나라화천쪽배축제",56,"문화축제"
28292,"2022-08","1001","2017 안양 시민축제","안양시민축제",1740,"문화축제"
28293,"2022-08","628","2017 얼음나라화천 산천어축제","얼음나라화천산천어축제",28,"문화축제"
28294,"2022-08","4","2017 영동곶감축제","영동곶감축제",170,"문화축제"
28295,"2022-08","385","2017 음식 문화축제","음식문화축제",90,"문화축제"
28296,"2022-08","287","2018 계룡산산신제","계룡산산신제",30,"문화축제"
28297,"2022-08","286","2018 공주 석장리 세계구석기축제","공주석장리세계구석기축제",120,"문화축제"
28298,"2022-08","1004","2018 광복기념음악회","광복기념음악회",68,"문화축제"
28299,"2022-08","962","2018 대구약령시한방문화축제","대구약령시한방문화축제",200,"문화축제"
28300,"2022-08","290","2018 마곡사토요무대","마곡사토요무대",37,"문화축제"
28301,"2022-08","1123","2018 무안황토갯벌축제","무안황토갯벌축제",120,"문화축제"
28302,"2022-08","799","2018 안산 김홍도축제","안산김홍도축제",50,"문화축제"
28303,"2022-08","1005","2018 안양 시민축제","안양시민축제",1740,"문화축제"
28304,"2022-08","386","2018 음식 문화축제","음식문화축제",90,"문화축제"
28305,"2022-08","501","2018 전주비빔밥축제","전주비빔밥축제",670,"문화축제"
28306,"2022-08","463","2018 제2회 광진교 페스티벌","광진교페스티벌",13,"문화축제"
28307,"2022-08","464","2018 제8회 광나루 어울마당","광나루어울마당",30,"문화축제"
28308,"2022-08","444","2018 종로한복축제","종로한복축제",1280,"문화축제"
28309,"2022-08","1094","2019 강남페스티벌","강남페스티벌",470,"문화축제"
28310,"2022-08","296","2019 계룡산산신제","계룡산산신제",30,"문화축제"
28311,"2022-08","609","2019 고양가을꽃축제","고양가을꽃축제",810,"문화축제"
28312,"2022-08","597","2019 고양국제꽃박람회","고양국제꽃박람회",570,"문화축제"
28313,"2022-08","602","2019 고양행주문화제","고양행주문화제",90,"문화축제"
28314,"2022-08","610","2019 고양호수예술축제","고양호수예술축제",1050,"문화축제"
28315,"2022-08","863","2019 곶자왈 반딧불이 축제","곶자왈반딧불이축제",130,"문화축제"
28316,"2022-08","306","2019 군포철쭉축제","군포철쭉축제",50,"문화축제"
28317,"2022-08","223","2019 금정산성축제","금정산성축제",50,"문화축제"
28318,"2022-08","333","2019 노은한마음축제","노은한마음축제",11,"문화축제"
28319,"2022-08","975","2019 대구약령시한방문화축제","대구약령시한방문화축제",200,"문화축제"
28320,"2022-08","873","2019 대전 서구힐링 아트페스티벌","대전서구힐링아트페스티벌",220,"문화축제"
28321,"2022-08","836","2019 대한민국 국향대전","대한민국국향대전",40,"문화축제"
28322,"2022-08","329","2019 대한민국 온천대축제","대한민국온천대축제",18,"문화축제"
28323,"2022-08","121","2019 동작복지나눔축제","동작복지나눔축제",300,"문화축제"
28324,"2022-08","150","2019 보정역생활문화센터 <청춘파티  - 특별프로그램>","보정역생활문화센터",270,"문화축제"
28325,"2022-08","889","2019 부평풍물대축제","부평풍물대축제",1990,"문화축제"
28326,"2022-08","887","2019 서귀포과학문화축전","서귀포과학문화축전",140,"문화축제"
28327,"2022-08","384","2019 수원등불축제","수원등불축제",33,"문화축제"
28328,"2022-08","382","2019 수원연극축제","수원연극축제",110,"문화축제"
28329,"2022-08","365","2019 순천 푸드앤아트 페스티벌","순천푸드앤아트페스티벌",310,"문화축제"
28330,"2022-08","152","2019 신안 섬 갯벌 축제","신안섬갯벌축제",11,"문화축제"
28331,"2022-08","1057","2019 안성맞춤 남사당 바우덕이축제","안성맞춤남사당바우덕이축제",350,"문화축제"
28332,"2022-08","1047","2019 양주 천만송이 천일홍 축제","양주천만송이천일홍축제",60,"문화축제"
