SEQ_NO,SCCNT_YM,ORIGIN_ID,REPRSNT_KWRD_NM,SRCHWRD_NM,SCCNT_VALUE,ORIGIN_CL_NM
"21792","2021-07","29","단감축제","단감축제","18","문화축제"
"21368","2021-07","997","2014 안양시민축제","안양시민축제","80","문화축제"
"21371","2021-07","992","2015 안양 시민축제","안양시민축제","80","문화축제"
"21375","2021-07","396","2016 대가야체험축제","대가야체험축제","37","문화축제"
"21378","2021-07","945","2016 대구약령시한방문화축제","대구약령시한방문화축제","370","문화축제"
"21381","2021-07","994","2016 안양 시민축제","안양시민축제","80","문화축제"
"21384","2021-07","996","2016 제5회 안양공공예술프로젝트","안양공공예술프로젝트","50","문화축제"
"21387","2021-07","819","2016 평생학습 박람회 & 제6회 도서관책문화축제","평생학습박람회","110","문화축제"
"21391","2021-07","952","2017 대구약령시한방문화축제","대구약령시한방문화축제","370","문화축제"
"21394","2021-07","627","2017 물의나라화천 쪽배축제","물의나라화천쪽배축제","40","문화축제"
"21397","2021-07","1001","2017 안양 시민축제","안양시민축제","80","문화축제"
"21400","2021-07","628","2017 얼음나라화천 산천어축제","얼음나라화천산천어축제","90","문화축제"
"21403","2021-07","4","2017 영동곶감축제","영동곶감축제","20","문화축제"
"21406","2021-07","385","2017 음식 문화축제","음식문화축제","18","문화축제"
"21409","2021-07","287","2018 계룡산산신제","계룡산산신제","20","문화축제"
"21412","2021-07","286","2018 공주 석장리 세계구석기축제","공주석장리세계구석기축제","120","문화축제"
"21416","2021-07","962","2018 대구약령시한방문화축제","대구약령시한방문화축제","370","문화축제"
"21419","2021-07","290","2018 마곡사토요무대","마곡사토요무대","70","문화축제"
"21421","2021-07","1123","2018 무안황토갯벌축제","무안황토갯벌축제","580","문화축제"
"21425","2021-07","799","2018 안산 김홍도축제","안산김홍도축제","25","문화축제"
"21428","2021-07","1005","2018 안양 시민축제","안양시민축제","80","문화축제"
"21431","2021-07","313","2018 연제고분판타지축제","연제고분판타지축제","12","문화축제"
"21434","2021-07","386","2018 음식 문화축제","음식문화축제","18","문화축제"
"21437","2021-07","501","2018 전주비빔밥축제","전주비빔밥축제","220","문화축제"
"21440","2021-07","463","2018 제2회 광진교 페스티벌","광진교페스티벌","12","문화축제"
"21442","2021-07","444","2018 종로한복축제","종로한복축제","280","문화축제"
"21445","2021-07","1094","2019 강남페스티벌","강남페스티벌","140","문화축제"
"21450","2021-07","296","2019 계룡산산신제","계룡산산신제","20","문화축제"
"21453","2021-07","609","2019 고양가을꽃축제","고양가을꽃축제","240","문화축제"
"21456","2021-07","597","2019 고양국제꽃박람회","고양국제꽃박람회","430","문화축제"
"21459","2021-07","602","2019 고양행주문화제","고양행주문화제","40","문화축제"
"21462","2021-07","610","2019 고양호수예술축제","고양호수예술축제","510","문화축제"
"21466","2021-07","863","2019 곶자왈 반딧불이 축제","곶자왈반딧불이축제","170","문화축제"
"21469","2021-07","306","2019 군포철쭉축제","군포철쭉축제","70","문화축제"
"21472","2021-07","223","2019 금정산성축제","금정산성축제","30","문화축제"
"21475","2021-07","975","2019 대구약령시한방문화축제","대구약령시한방문화축제","370","문화축제"
"21478","2021-07","873","2019 대전 서구힐링 아트페스티벌","대전서구힐링아트페스티벌","25","문화축제"
"21481","2021-07","836","2019 대한민국 국향대전","대한민국국향대전","16","문화축제"
"21484","2021-07","329","2019 대한민국 온천대축제","대한민국온천대축제","10","문화축제"
"21485","2021-07","121","2019 동작복지나눔축제","동작복지나눔축제","14","문화축제"
"21490","2021-07","150","2019 보정역생활문화센터 <청춘파티  - 특별프로그램>","보정역생활문화센터","230","문화축제"
"21493","2021-07","889","2019 부평풍물대축제","부평풍물대축제","200","문화축제"
"21496","2021-07","859","2019 사려니숲 에코힐링 체험","사려니숲에코힐링체험","17","문화축제"
"21499","2021-07","382","2019 수원연극축제","수원연극축제","110","문화축제"
"21502","2021-07","365","2019 순천 푸드앤아트 페스티벌","순천푸드앤아트페스티벌","110","문화축제"
"21506","2021-07","1057","2019 안성맞춤 남사당 바우덕이축제","안성맞춤남사당바우덕이축제","46","문화축제"
"21511","2021-07","980","2019 여주오곡나루축제(취소)","여주오곡나루축제","60","문화축제"
"21514","2021-07","36","2019 예천세계활축제","예천세계활축제","90","문화축제"
"21518","2021-07","387","2019 음식 문화축제","음식문화축제","18","문화축제"
"21522","2021-07","54","2019 정읍벚꽃축제","정읍벚꽃축제","15","문화축제"
"21523","2021-07","462","2019 제8회 서울동화축제","서울동화축제","30","문화축제"
"21526","2021-07","864","2019 제주 메밀축제","제주메밀축제","15","문화축제"
"21529","2021-07","664","2019 제주들불축제","제주들불축제","570","문화축제"
"21532","2021-07","665","2019 제주왕벚꽃축제","제주왕벚꽃축제","50","문화축제"
"21535","2021-07","400","2019 진안홍삼축제","진안홍삼축제","230","문화축제"
"21538","2021-07","247","2019 청소년미디어캠프","청소년미디어캠프","16","문화축제"
"21540","2021-07","518","2019 태화강 국제 재즈페스티벌","태화강국제재즈페스티벌","28","문화축제"
