SEQ_NO,SCCNT_YM,ORIGIN_ID,REPRSNT_KWRD_NM,SRCHWRD_NM,SCCNT_VALUE,ORIGIN_CL_NM
26409,"2022-05","39","달맞이축제","달맞이축제",26,"문화축제"
25923,"2022-05","997","2014 안양시민축제","안양시민축제",370,"문화축제"
25926,"2022-05","992","2015 안양 시민축제","안양시민축제",370,"문화축제"
25929,"2022-05","396","2016 대가야체험축제","대가야체험축제",7090,"문화축제"
25932,"2022-05","945","2016 대구약령시한방문화축제","대구약령시한방문화축제",380,"문화축제"
25935,"2022-05","994","2016 안양 시민축제","안양시민축제",370,"문화축제"
25938,"2022-05","996","2016 제5회 안양공공예술프로젝트","안양공공예술프로젝트",50,"문화축제"
25941,"2022-05","819","2016 평생학습 박람회 & 제6회 도서관책문화축제","평생학습박람회",110,"문화축제"
25944,"2022-05","283","2017 겨울공주군밤축제","겨울공주군밤축제",50,"문화축제"
25947,"2022-05","952","2017 대구약령시한방문화축제","대구약령시한방문화축제",380,"문화축제"
25950,"2022-05","627","2017 물의나라화천 쪽배축제","물의나라화천쪽배축제",40,"문화축제"
25953,"2022-05","1001","2017 안양 시민축제","안양시민축제",370,"문화축제"
25956,"2022-05","998","2017 안양충훈벚꽃축제","안양충훈벚꽃축제",13,"문화축제"
25959,"2022-05","628","2017 얼음나라화천 산천어축제","얼음나라화천산천어축제",330,"문화축제"
25962,"2022-05","4","2017 영동곶감축제","영동곶감축제",20,"문화축제"
25965,"2022-05","385","2017 음식 문화축제","음식문화축제",40,"문화축제"
25968,"2022-05","289","2018 계룡산벚꽃축제","계룡산벚꽃축제",30,"문화축제"
25971,"2022-05","287","2018 계룡산산신제","계룡산산신제",30,"문화축제"
25974,"2022-05","286","2018 공주 석장리 세계구석기축제","공주석장리세계구석기축제",5590,"문화축제"
25977,"2022-05","962","2018 대구약령시한방문화축제","대구약령시한방문화축제",380,"문화축제"
25981,"2022-05","1123","2018 무안황토갯벌축제","무안황토갯벌축제",380,"문화축제"
25985,"2022-05","799","2018 안산 김홍도축제","안산김홍도축제",20,"문화축제"
25988,"2022-05","1005","2018 안양 시민축제","안양시민축제",370,"문화축제"
25991,"2022-05","1002","2018 안양충훈벚꽃축제","안양충훈벚꽃축제",13,"문화축제"
25996,"2022-05","285","2018 웅진성수문병 근무교대식","웅진성수문병근무교대식",50,"문화축제"
25999,"2022-05","386","2018 음식 문화축제","음식문화축제",40,"문화축제"
26002,"2022-05","501","2018 전주비빔밥축제","전주비빔밥축제",810,"문화축제"
26005,"2022-05","463","2018 제2회 광진교 페스티벌","광진교페스티벌",16,"문화축제"
26007,"2022-05","444","2018 종로한복축제","종로한복축제",510,"문화축제"
26010,"2022-05","1094","2019 강남페스티벌","강남페스티벌",230,"문화축제"
26013,"2022-05","298","2019 계룡산벚꽃축제","계룡산벚꽃축제",30,"문화축제"
26016,"2022-05","296","2019 계룡산산신제","계룡산산신제",30,"문화축제"
26019,"2022-05","609","2019 고양가을꽃축제","고양가을꽃축제",130,"문화축제"
26022,"2022-05","597","2019 고양국제꽃박람회","고양국제꽃박람회",1980,"문화축제"
26025,"2022-05","602","2019 고양행주문화제","고양행주문화제",1010,"문화축제"
26028,"2022-05","610","2019 고양호수예술축제","고양호수예술축제",380,"문화축제"
26031,"2022-05","295","2019 공주 석장리 구석기축제","공주석장리구석기축제",4270,"문화축제"
26034,"2022-05","863","2019 곶자왈 반딧불이 축제","곶자왈반딧불이축제",670,"문화축제"
26037,"2022-05","306","2019 군포철쭉축제","군포철쭉축제",4520,"문화축제"
26040,"2022-05","223","2019 금정산성축제","금정산성축제",60,"문화축제"
26043,"2022-05","975","2019 대구약령시한방문화축제","대구약령시한방문화축제",380,"문화축제"
26046,"2022-05","873","2019 대전 서구힐링 아트페스티벌","대전서구힐링아트페스티벌",310,"문화축제"
26049,"2022-05","836","2019 대한민국 국향대전","대한민국국향대전",20,"문화축제"
26052,"2022-05","121","2019 동작복지나눔축제","동작복지나눔축제",11,"문화축제"
26056,"2022-05","862","2019 보목자리돔축제","보목자리돔축제",200,"문화축제"
26059,"2022-05","150","2019 보정역생활문화센터 <청춘파티  - 특별프로그램>","보정역생활문화센터",160,"문화축제"
26062,"2022-05","889","2019 부평풍물대축제","부평풍물대축제",730,"문화축제"
26065,"2022-05","859","2019 사려니숲 에코힐링 체험","사려니숲에코힐링체험",180,"문화축제"
26068,"2022-05","384","2019 수원등불축제","수원등불축제",70,"문화축제"
26071,"2022-05","382","2019 수원연극축제","수원연극축제",11620,"문화축제"
26074,"2022-05","365","2019 순천 푸드앤아트 페스티벌","순천푸드앤아트페스티벌",150,"문화축제"
26078,"2022-05","1057","2019 안성맞춤 남사당 바우덕이축제","안성맞춤남사당바우덕이축제",46,"문화축제"
26081,"2022-05","1047","2019 양주 천만송이 천일홍 축제","양주천만송이천일홍축제",20,"문화축제"
26084,"2022-05","980","2019 여주오곡나루축제(취소)","여주오곡나루축제",220,"문화축제"
26087,"2022-05","36","2019 예천세계활축제","예천세계활축제",30,"문화축제"
26090,"2022-05","894","2019 오륙도 평화축제","오륙도평화축제",20,"문화축제"
26093,"2022-05","294","2019 웅진성수문병 근무교대식","웅진성수문병근무교대식",50,"문화축제"
26096,"2022-05","387","2019 음식 문화축제","음식문화축제",40,"문화축제"
26099,"2022-05","54","2019 정읍벚꽃축제","정읍벚꽃축제",30,"문화축제"
26102,"2022-05","462","2019 제8회 서울동화축제","서울동화축제",190,"문화축제"
26105,"2022-05","864","2019 제주 메밀축제","제주메밀축제",590,"문화축제"
26108,"2022-05","664","2019 제주들불축제","제주들불축제",1190,"문화축제"
26111,"2022-05","665","2019 제주왕벚꽃축제","제주왕벚꽃축제",120,"문화축제"
26116,"2022-05","400","2019 진안홍삼축제","진안홍삼축제",370,"문화축제"
