SEQ_NO,SCCNT_YM,ORIGIN_ID,REPRSNT_KWRD_NM,SRCHWRD_NM,SCCNT_VALUE,ORIGIN_CL_NM
27888,"2022-07","856","방선문축제","방선문축제",15,"문화축제"
27686,"2022-07","997","2014 안양시민축제","안양시민축제",250,"문화축제"
27687,"2022-07","992","2015 안양 시민축제","안양시민축제",250,"문화축제"
27688,"2022-07","396","2016 대가야체험축제","대가야체험축제",30,"문화축제"
27689,"2022-07","945","2016 대구약령시한방문화축제","대구약령시한방문화축제",120,"문화축제"
27690,"2022-07","994","2016 안양 시민축제","안양시민축제",250,"문화축제"
27691,"2022-07","996","2016 제5회 안양공공예술프로젝트","안양공공예술프로젝트",50,"문화축제"
27692,"2022-07","819","2016 평생학습 박람회 & 제6회 도서관책문화축제","평생학습박람회",140,"문화축제"
27693,"2022-07","283","2017 겨울공주군밤축제","겨울공주군밤축제",40,"문화축제"
27694,"2022-07","952","2017 대구약령시한방문화축제","대구약령시한방문화축제",120,"문화축제"
27695,"2022-07","627","2017 물의나라화천 쪽배축제","물의나라화천쪽배축제",650,"문화축제"
27696,"2022-07","1001","2017 안양 시민축제","안양시민축제",250,"문화축제"
27697,"2022-07","628","2017 얼음나라화천 산천어축제","얼음나라화천산천어축제",70,"문화축제"
27698,"2022-07","4","2017 영동곶감축제","영동곶감축제",30,"문화축제"
27699,"2022-07","385","2017 음식 문화축제","음식문화축제",30,"문화축제"
27700,"2022-07","287","2018 계룡산산신제","계룡산산신제",20,"문화축제"
27701,"2022-07","286","2018 공주 석장리 세계구석기축제","공주석장리세계구석기축제",140,"문화축제"
27702,"2022-07","962","2018 대구약령시한방문화축제","대구약령시한방문화축제",120,"문화축제"
27703,"2022-07","290","2018 마곡사토요무대","마곡사토요무대",60,"문화축제"
27704,"2022-07","1123","2018 무안황토갯벌축제","무안황토갯벌축제",200,"문화축제"
27705,"2022-07","799","2018 안산 김홍도축제","안산김홍도축제",20,"문화축제"
27706,"2022-07","1005","2018 안양 시민축제","안양시민축제",250,"문화축제"
27707,"2022-07","1003","2018 안양여성축제","안양여성축제",13,"문화축제"
27708,"2022-07","285","2018 웅진성수문병 근무교대식","웅진성수문병근무교대식",20,"문화축제"
27709,"2022-07","386","2018 음식 문화축제","음식문화축제",30,"문화축제"
27710,"2022-07","501","2018 전주비빔밥축제","전주비빔밥축제",410,"문화축제"
27711,"2022-07","463","2018 제2회 광진교 페스티벌","광진교페스티벌",20,"문화축제"
27712,"2022-07","444","2018 종로한복축제","종로한복축제",890,"문화축제"
27713,"2022-07","1094","2019 강남페스티벌","강남페스티벌",640,"문화축제"
27714,"2022-07","296","2019 계룡산산신제","계룡산산신제",20,"문화축제"
27715,"2022-07","609","2019 고양가을꽃축제","고양가을꽃축제",170,"문화축제"
27716,"2022-07","597","2019 고양국제꽃박람회","고양국제꽃박람회",530,"문화축제"
27717,"2022-07","602","2019 고양행주문화제","고양행주문화제",130,"문화축제"
27718,"2022-07","610","2019 고양호수예술축제","고양호수예술축제",330,"문화축제"
27719,"2022-07","295","2019 공주 석장리 구석기축제","공주석장리구석기축제",24,"문화축제"
27720,"2022-07","863","2019 곶자왈 반딧불이 축제","곶자왈반딧불이축제",490,"문화축제"
27721,"2022-07","306","2019 군포철쭉축제","군포철쭉축제",70,"문화축제"
27722,"2022-07","223","2019 금정산성축제","금정산성축제",20,"문화축제"
27723,"2022-07","975","2019 대구약령시한방문화축제","대구약령시한방문화축제",120,"문화축제"
27724,"2022-07","873","2019 대전 서구힐링 아트페스티벌","대전서구힐링아트페스티벌",230,"문화축제"
27725,"2022-07","836","2019 대한민국 국향대전","대한민국국향대전",30,"문화축제"
27726,"2022-07","329","2019 대한민국 온천대축제","대한민국온천대축제",18,"문화축제"
27727,"2022-07","121","2019 동작복지나눔축제","동작복지나눔축제",60,"문화축제"
27728,"2022-07","862","2019 보목자리돔축제","보목자리돔축제",14,"문화축제"
27729,"2022-07","150","2019 보정역생활문화센터 <청춘파티  - 특별프로그램>","보정역생활문화센터",220,"문화축제"
27730,"2022-07","889","2019 부평풍물대축제","부평풍물대축제",630,"문화축제"
27731,"2022-07","384","2019 수원등불축제","수원등불축제",13,"문화축제"
27732,"2022-07","382","2019 수원연극축제","수원연극축제",140,"문화축제"
27733,"2022-07","365","2019 순천 푸드앤아트 페스티벌","순천푸드앤아트페스티벌",190,"문화축제"
27734,"2022-07","1057","2019 안성맞춤 남사당 바우덕이축제","안성맞춤남사당바우덕이축제",40,"문화축제"
27735,"2022-07","1047","2019 양주 천만송이 천일홍 축제","양주천만송이천일홍축제",20,"문화축제"
27736,"2022-07","980","2019 여주오곡나루축제(취소)","여주오곡나루축제",250,"문화축제"
27737,"2022-07","36","2019 예천세계활축제","예천세계활축제",30,"문화축제"
27738,"2022-07","894","2019 오륙도 평화축제","오륙도평화축제",15,"문화축제"
27739,"2022-07","294","2019 웅진성수문병 근무교대식","웅진성수문병근무교대식",20,"문화축제"
27740,"2022-07","387","2019 음식 문화축제","음식문화축제",30,"문화축제"
27741,"2022-07","54","2019 정읍벚꽃축제","정읍벚꽃축제",20,"문화축제"
27742,"2022-07","462","2019 제8회 서울동화축제","서울동화축제",70,"문화축제"
27743,"2022-07","864","2019 제주 메밀축제","제주메밀축제",46,"문화축제"
27744,"2022-07","664","2019 제주들불축제","제주들불축제",680,"문화축제"
27745,"2022-07","665","2019 제주왕벚꽃축제","제주왕벚꽃축제",40,"문화축제"
27746,"2022-07","400","2019 진안홍삼축제","진안홍삼축제",660,"문화축제"
27747,"2022-07","247","2019 청소년미디어캠프","청소년미디어캠프",17,"문화축제"
27748,"2022-07","292","2019겨울공주군밤축제","겨울공주군밤축제",40,"문화축제"
27749,"2022-07","189","2019계룡세계軍문화축제","계룡세계군문화축제",20,"문화축제"
27750,"2022-07","513","2019년 울산 마두희 축제","울산마두희축제",170,"문화축제"
27751,"2022-07","506","2019년 제15회 해운대모래축제","해운대모래축제",7340,"문화축제"
27752,"2022-07","867","2019년도 거문오름국제트레킹","거문오름국제트레킹",1900,"문화축제"
27753,"2022-07","487","2019청도반시축제","청도반시축제",130,"문화축제"
27754,"2022-07","488","2019청도세계코미디아트페스티벌","청도세계코미디아트페스티벌",24,"문화축제"
27755,"2022-07","485","2019청도소싸움축제","청도소싸움축제",100,"문화축제"
27756,"2022-07","694","2019컬러풀대구페스티벌","컬러풀대구페스티벌",680,"문화축제"
27757,"2022-07","1106","2019합천 바캉스축제","바캉스축제",80,"문화축제"
27758,"2022-07","710","2019해우리문화축제","해우리문화축제",10,"문화축제"
27759,"2022-07","442","D.FESTA 대학로 거리공연축제","DFESTA대학로거리공연축제",70,"문화축제"
27760,"2022-07","910","「제34회 대구약령시 한방문화축제」","대구약령시한방문화축제",120,"문화축제"
27761,"2022-07","917","「제35회 대구약령시 한방문화축제」","대구약령시한방문화축제",120,"문화축제"
27762,"2022-07","924","「제36회 대구약령시 한방문화축제」","대구약령시한방문화축제",120,"문화축제"
27763,"2022-07","931","「제37회 대구약령시 한방문화축제」","대구약령시한방문화축제",120,"문화축제"
27764,"2022-07","235","가야문화축제","가야문화축제",650,"문화축제"
27765,"2022-07","475","가족사랑 아이스축제","가족사랑아이스축제",1530,"문화축제"
27766,"2022-07","845","가파도청보리축제","가파도청보리축제",270,"문화축제"
27767,"2022-07","86","감물감자축제","감물감자축제",100,"문화축제"
27768,"2022-07","1079","감자옥수수 축제","감자옥수수축제",107,"문화축제"
27769,"2022-07","366","감천문화마을 골목축제","감천문화마을골목축제",26,"문화축제"
27770,"2022-07","111","강감찬축제","강감찬축제",120,"문화축제"
27771,"2022-07","187","강경젓갈축제","강경젓갈축제",600,"문화축제"
27772,"2022-07","586","강동선사문화축제","강동선사문화축제",270,"문화축제"
