SEQ_NO,SCCNT_YM,ORIGIN_ID,REPRSNT_KWRD_NM,SRCHWRD_NM,SCCNT_VALUE,ORIGIN_CL_NM
39650,2023-11,660,마산만날제,마산만날제,40,문화축제
39651,2023-11,478,마토예술제,마토예술제,140,문화축제
39473,2023-11,997,2014 안양시민축제,안양시민축제,60,문화축제
39474,2023-11,992,2015 안양 시민축제,안양시민축제,60,문화축제
39475,2023-11,396,2016 대가야체험축제,대가야체험축제,14,문화축제
39476,2023-11,945,2016 대구약령시한방문화축제,대구약령시한방문화축제,90,문화축제
39477,2023-11,994,2016 안양 시민축제,안양시민축제,60,문화축제
39478,2023-11,996,2016 제5회 안양공공예술프로젝트,안양공공예술프로젝트,780,문화축제
39479,2023-11,819,2016 평생학습 박람회 & 제6회 도서관책문화축제,평생학습박람회,770,문화축제
39480,2023-11,283,2017 겨울공주군밤축제,겨울공주군밤축제,610,문화축제
39481,2023-11,952,2017 대구약령시한방문화축제,대구약령시한방문화축제,90,문화축제
39482,2023-11,1001,2017 안양 시민축제,안양시민축제,60,문화축제
39483,2023-11,998,2017 안양충훈벚꽃축제,안양충훈벚꽃축제,14,문화축제
39484,2023-11,628,2017 얼음나라화천 산천어축제,얼음나라화천산천어축제,7880,문화축제
39485,2023-11,4,2017 영동곶감축제,영동곶감축제,3050,문화축제
39486,2023-11,385,2017 음식 문화축제,음식문화축제,350,문화축제
39487,2023-11,289,2018 계룡산벚꽃축제,계룡산벚꽃축제,15,문화축제
39488,2023-11,287,2018 계룡산산신제,계룡산산신제,18,문화축제
39489,2023-11,286,2018 공주 석장리 세계구석기축제,공주석장리세계구석기축제,20,문화축제
39490,2023-11,962,2018 대구약령시한방문화축제,대구약령시한방문화축제,90,문화축제
39491,2023-11,1123,2018 무안황토갯벌축제,무안황토갯벌축제,18,문화축제
39492,2023-11,799,2018 안산 김홍도축제,안산김홍도축제,40,문화축제
39493,2023-11,1005,2018 안양 시민축제,안양시민축제,60,문화축제
39494,2023-11,1002,2018 안양충훈벚꽃축제,안양충훈벚꽃축제,14,문화축제
39495,2023-11,386,2018 음식 문화축제,음식문화축제,350,문화축제
39496,2023-11,501,2018 전주비빔밥축제,전주비빔밥축제,880,문화축제
39497,2023-11,1056,2018 정선고드름축제,정선고드름축제,30,문화축제
39498,2023-11,444,2018 종로한복축제,종로한복축제,270,문화축제
39499,2023-11,1094,2019 강남페스티벌,강남페스티벌,190,문화축제
39500,2023-11,298,2019 계룡산벚꽃축제,계룡산벚꽃축제,15,문화축제
39501,2023-11,296,2019 계룡산산신제,계룡산산신제,18,문화축제
39502,2023-11,609,2019 고양가을꽃축제,고양가을꽃축제,470,문화축제
