SEQ_NO,SCCNT_YM,ORIGIN_ID,REPRSNT_KWRD_NM,SRCHWRD_NM,SCCNT_VALUE,ORIGIN_CL_NM
"23200","2021-11","368","김천예술제","김천예술제","50","문화축제"
"23270","2021-11","907","동해무릉제","동해무릉제","60","문화축제"
"22927","2021-11","997","2014 안양시민축제","안양시민축제","350","문화축제"
"22929","2021-11","992","2015 안양 시민축제","안양시민축제","350","문화축제"
"22931","2021-11","396","2016 대가야체험축제","대가야체험축제","30","문화축제"
"22933","2021-11","945","2016 대구약령시한방문화축제","대구약령시한방문화축제","290","문화축제"
"22935","2021-11","994","2016 안양 시민축제","안양시민축제","350","문화축제"
"22937","2021-11","996","2016 제5회 안양공공예술프로젝트","안양공공예술프로젝트","50","문화축제"
"22939","2021-11","819","2016 평생학습 박람회 & 제6회 도서관책문화축제","평생학습박람회","1470","문화축제"
"22941","2021-11","283","2017 겨울공주군밤축제","겨울공주군밤축제","80","문화축제"
"22943","2021-11","952","2017 대구약령시한방문화축제","대구약령시한방문화축제","290","문화축제"
"22946","2021-11","1001","2017 안양 시민축제","안양시민축제","350","문화축제"
"22948","2021-11","998","2017 안양충훈벚꽃축제","안양충훈벚꽃축제","15","문화축제"
"22950","2021-11","628","2017 얼음나라화천 산천어축제","얼음나라화천산천어축제","590","문화축제"
"22952","2021-11","4","2017 영동곶감축제","영동곶감축제","290","문화축제"
"22954","2021-11","385","2017 음식 문화축제","음식문화축제","50","문화축제"
"22957","2021-11","287","2018 계룡산산신제","계룡산산신제","40","문화축제"
"22959","2021-11","286","2018 공주 석장리 세계구석기축제","공주석장리세계구석기축제","60","문화축제"
"22961","2021-11","962","2018 대구약령시한방문화축제","대구약령시한방문화축제","290","문화축제"
"22964","2021-11","1123","2018 무안황토갯벌축제","무안황토갯벌축제","70","문화축제"
"22967","2021-11","799","2018 안산 김홍도축제","안산김홍도축제","40","문화축제"
"22969","2021-11","1005","2018 안양 시민축제","안양시민축제","350","문화축제"
"22971","2021-11","1002","2018 안양충훈벚꽃축제","안양충훈벚꽃축제","15","문화축제"
"22975","2021-11","386","2018 음식 문화축제","음식문화축제","50","문화축제"
"22977","2021-11","501","2018 전주비빔밥축제","전주비빔밥축제","680","문화축제"
"22978","2021-11","1056","2018 정선고드름축제","정선고드름축제","20","문화축제"
"22979","2021-11","463","2018 제2회 광진교 페스티벌","광진교페스티벌","17","문화축제"
"22981","2021-11","444","2018 종로한복축제","종로한복축제","350","문화축제"
"22983","2021-11","1094","2019 강남페스티벌","강남페스티벌","170","문화축제"
"22986","2021-11","296","2019 계룡산산신제","계룡산산신제","40","문화축제"
"22988","2021-11","609","2019 고양가을꽃축제","고양가을꽃축제","1230","문화축제"
"22990","2021-11","597","2019 고양국제꽃박람회","고양국제꽃박람회","590","문화축제"
"22992","2021-11","602","2019 고양행주문화제","고양행주문화제","240","문화축제"
"22994","2021-11","610","2019 고양호수예술축제","고양호수예술축제","130","문화축제"
"22997","2021-11","863","2019 곶자왈 반딧불이 축제","곶자왈반딧불이축제","19","문화축제"
"22999","2021-11","306","2019 군포철쭉축제","군포철쭉축제","130","문화축제"
"23001","2021-11","223","2019 금정산성축제","금정산성축제","50","문화축제"
"23003","2021-11","333","2019 노은한마음축제","노은한마음축제","16","문화축제"
"23005","2021-11","975","2019 대구약령시한방문화축제","대구약령시한방문화축제","290","문화축제"
"23007","2021-11","873","2019 대전 서구힐링 아트페스티벌","대전서구힐링아트페스티벌","8200","문화축제"
"23009","2021-11","836","2019 대한민국 국향대전","대한민국국향대전","1250","문화축제"
"23012","2021-11","150","2019 보정역생활문화센터 <청춘파티  - 특별프로그램>","보정역생활문화센터","210","문화축제"
"23014","2021-11","889","2019 부평풍물대축제","부평풍물대축제","640","문화축제"
"23017","2021-11","384","2019 수원등불축제","수원등불축제","30","문화축제"
"23019","2021-11","382","2019 수원연극축제","수원연극축제","50","문화축제"
"23021","2021-11","365","2019 순천 푸드앤아트 페스티벌","순천푸드앤아트페스티벌","9780","문화축제"
"23023","2021-11","1057","2019 안성맞춤 남사당 바우덕이축제","안성맞춤남사당바우덕이축제","60","문화축제"
"23026","2021-11","980","2019 여주오곡나루축제(취소)","여주오곡나루축제","6000","문화축제"
"23028","2021-11","36","2019 예천세계활축제","예천세계활축제","40","문화축제"
"23032","2021-11","387","2019 음식 문화축제","음식문화축제","50","문화축제"
"23035","2021-11","54","2019 정읍벚꽃축제","정읍벚꽃축제","14","문화축제"
"23037","2021-11","462","2019 제8회 서울동화축제","서울동화축제","60","문화축제"
"23039","2021-11","864","2019 제주 메밀축제","제주메밀축제","30","문화축제"
"23041","2021-11","664","2019 제주들불축제","제주들불축제","2290","문화축제"
"23043","2021-11","665","2019 제주왕벚꽃축제","제주왕벚꽃축제","70","문화축제"
"23044","2021-11","252","2019 중딩영화제","중딩영화제","170","문화축제"
"23046","2021-11","400","2019 진안홍삼축제","진안홍삼축제","180","문화축제"
"23048","2021-11","256","2019 청소년창작영상제","청소년창작영상제","130","문화축제"
"23049","2021-11","518","2019 태화강 국제 재즈페스티벌","태화강국제재즈페스티벌","20","문화축제"
"23051","2021-11","62","2019 하하페스티벌","하하페스티벌","40","문화축제"
"23053","2021-11","292","2019겨울공주군밤축제","겨울공주군밤축제","80","문화축제"
"23056","2021-11","513","2019년 울산 마두희 축제","울산마두희축제","870","문화축제"
"23058","2021-11","506","2019년 제15회 해운대모래축제","해운대모래축제","420","문화축제"
"23060","2021-11","64","2019년 한마음 건강걷기대회","한마음건강걷기대회","16","문화축제"
"23062","2021-11","487","2019청도반시축제","청도반시축제","520","문화축제"
"23064","2021-11","485","2019청도소싸움축제","청도소싸움축제","200","문화축제"
"23066","2021-11","694","2019컬러풀대구페스티벌","컬러풀대구페스티벌","17","문화축제"
"23068","2021-11","226","4.19혁명 국민문화제 2019","419혁명국민문화제","11","문화축제"
"23070","2021-11","1034","DMZ마라톤대회","DMZ마라톤대회","18","문화축제"
"23072","2021-11","910","「제34회 대구약령시 한방문화축제」","대구약령시한방문화축제","290","문화축제"
"23074","2021-11","917","「제35회 대구약령시 한방문화축제」","대구약령시한방문화축제","290","문화축제"
"23076","2021-11","924","「제36회 대구약령시 한방문화축제」","대구약령시한방문화축제","290","문화축제"
"23078","2021-11","931","「제37회 대구약령시 한방문화축제」","대구약령시한방문화축제","290","문화축제"
"23079","2021-11","737","가로수사랑음악회","가로수사랑음악회","33","문화축제"
"23081","2021-11","235","가야문화축제","가야문화축제","340","문화축제"
"23083","2021-11","845","가파도청보리축제","가파도청보리축제","230","문화축제"
"23085","2021-11","1120","간절곶해맞이","간절곶해맞이","50","문화축제"
"23087","2021-11","366","감천문화마을 골목축제","감천문화마을골목축제","110","문화축제"
"23090","2021-11","111","강감찬축제","강감찬축제","160","문화축제"
"23092","2021-11","187","강경젓갈축제","강경젓갈축제","3530","문화축제"
"23094","2021-11","586","강동선사문화축제","강동선사문화축제","300","문화축제"
"23096","2021-11","763","강릉단오제","강릉단오제","5160","문화축제"
"23098","2021-11","764","강릉커피축제","강릉커피축제","41890","문화축제"
"23100","2021-11","115","개천예술제","개천예술제","12500","문화축제"
"23101","2021-11","437","거제 대구수산물 축제","거제대구수산물축제","36","문화축제"
"23103","2021-11","436","거제 섬꽃축제","거제섬꽃축제","3950","문화축제"
"23104","2021-11","430","거제 옥포대첩 축제","거제옥포대첩축제","12","문화축제"
"23107","2021-11","434","거제맥주축제","거제맥주축제","13","문화축제"
"23109","2021-11","615","거창크리스마스트리문화축제","거창크리스마스트리문화축제","350","문화축제"
"23111","2021-11","614","거창한마당대축제","거창한마당대축제","27","문화축제"
"23113","2021-11","101","겨울왕국 제천페스티벌","겨울왕국제천페스티벌","320","문화축제"
"23116","2021-11","766","경산자인단오제","경산자인단오제","70","문화축제"
"23118","2021-11","760","계룡군문화축제","계룡군문화축제","130","문화축제"
"23121","2021-11","280","계룡산산신제","계룡산산신제","40","문화축제"
"23122","2021-11","798","고3문화축제","고3문화축제","20","문화축제"
"23124","2021-11","753","고려산진달래축제","고려산진달래축제","90","문화축제"
"23126","2021-11","27","고로쇠축제","고로쇠축제","20","문화축제"
"23129","2021-11","1105","고스트파크","고스트파크","270","문화축제"
"23130","2021-11","374","고싸움놀이축제","고싸움놀이축제","190","문화축제"
"23131","2021-11","616","고싸움놀이축제(1차)","고싸움놀이축제","190","문화축제"
"23132","2021-11","617","고싸움놀이축제(2차)","고싸움놀이축제","190","문화축제"
"23134","2021-11","326","고창갯벌축제","고창갯벌축제","60","문화축제"
"23136","2021-11","322","고창모양성제","고창모양성제","550","문화축제"
"23138","2021-11","325","고창복분자와수박축제","고창복분자와수박축제","15","문화축제"
"23140","2021-11","323","고창청보리밭축제","고창청보리밭축제","120","문화축제"
"23142","2021-11","328","고창해풍고추축제","고창해풍고추축제","15","문화축제"
"23144","2021-11","490","고흥 우주항공 축제","고흥우주항공축제","30","문화축제"
"23146","2021-11","1087","곡성세계장미축제","곡성세계장미축제","90","문화축제"
"23148","2021-11","1088","곡성심청축제","곡성심청축제","110","문화축제"
"23153","2021-11","170","공주 석장리 세계구석기축제","공주석장리세계구석기축제","60","문화축제"
"23155","2021-11","1124","광양매화축제","광양매화축제","1270","문화축제"
"23157","2021-11","1127","광양숯불구이축제","광양숯불구이축제","140","문화축제"
"23159","2021-11","1126","광양전어축제","광양전어축제","130","문화축제"
"23161","2021-11","749","광주 남한산성문화제","광주남한산성문화제","40","문화축제"
"23163","2021-11","447","광주남한산성문화제","광주남한산성문화제","40","문화축제"
