SEQ_NO,SCCNT_YM,ORIGIN_ID,REPRSNT_KWRD_NM,SRCHWRD_NM,SCCNT_VALUE,ORIGIN_CL_NM
40257,2023-12,882,쇠소깍축제,쇠소깍축제,17,문화축제
40258,2023-12,153,수선화축제,수선화축제,130,문화축제
40023,2023-12,997,2014 안양시민축제,안양시민축제,30,문화축제
40024,2023-12,992,2015 안양 시민축제,안양시민축제,30,문화축제
40025,2023-12,396,2016 대가야체험축제,대가야체험축제,16,문화축제
40026,2023-12,945,2016 대구약령시한방문화축제,대구약령시한방문화축제,60,문화축제
40027,2023-12,994,2016 안양 시민축제,안양시민축제,30,문화축제
40028,2023-12,996,2016 제5회 안양공공예술프로젝트,안양공공예술프로젝트,70,문화축제
40029,2023-12,819,2016 평생학습 박람회 & 제6회 도서관책문화축제,평생학습박람회,80,문화축제
40030,2023-12,283,2017 겨울공주군밤축제,겨울공주군밤축제,2280,문화축제
40031,2023-12,952,2017 대구약령시한방문화축제,대구약령시한방문화축제,60,문화축제
40032,2023-12,1001,2017 안양 시민축제,안양시민축제,30,문화축제
40033,2023-12,628,2017 얼음나라화천 산천어축제,얼음나라화천산천어축제,59880,문화축제
40034,2023-12,4,2017 영동곶감축제,영동곶감축제,10280,문화축제
40035,2023-12,289,2018 계룡산벚꽃축제,계룡산벚꽃축제,16,문화축제
40036,2023-12,287,2018 계룡산산신제,계룡산산신제,18,문화축제
40037,2023-12,286,2018 공주 석장리 세계구석기축제,공주석장리세계구석기축제,30,문화축제
40038,2023-12,962,2018 대구약령시한방문화축제,대구약령시한방문화축제,60,문화축제
40039,2023-12,1123,2018 무안황토갯벌축제,무안황토갯벌축제,12,문화축제
40040,2023-12,799,2018 안산 김홍도축제,안산김홍도축제,29,문화축제
40041,2023-12,1005,2018 안양 시민축제,안양시민축제,30,문화축제
40042,2023-12,313,2018 연제고분판타지축제,연제고분판타지축제,40,문화축제
40043,2023-12,501,2018 전주비빔밥축제,전주비빔밥축제,350,문화축제
40044,2023-12,1056,2018 정선고드름축제,정선고드름축제,170,문화축제
40045,2023-12,444,2018 종로한복축제,종로한복축제,90,문화축제
40046,2023-12,1094,2019 강남페스티벌,강남페스티벌,130,문화축제
40047,2023-12,298,2019 계룡산벚꽃축제,계룡산벚꽃축제,16,문화축제
40048,2023-12,296,2019 계룡산산신제,계룡산산신제,18,문화축제
40049,2023-12,609,2019 고양가을꽃축제,고양가을꽃축제,70,문화축제
40050,2023-12,597,2019 고양국제꽃박람회,고양국제꽃박람회,820,문화축제
40051,2023-12,602,2019 고양행주문화제,고양행주문화제,40,문화축제
40052,2023-12,610,2019 고양호수예술축제,고양호수예술축제,130,문화축제
40053,2023-12,295,2019 공주 석장리 구석기축제,공주석장리구석기축제,15,문화축제
40054,2023-12,863,2019 곶자왈 반딧불이 축제,곶자왈반딧불이축제,11,문화축제
40055,2023-12,306,2019 군포철쭉축제,군포철쭉축제,180,문화축제
40056,2023-12,223,2019 금정산성축제,금정산성축제,50,문화축제
40057,2023-12,975,2019 대구약령시한방문화축제,대구약령시한방문화축제,60,문화축제
40058,2023-12,873,2019 대전 서구힐링 아트페스티벌,대전서구힐링아트페스티벌,100,문화축제
40059,2023-12,836,2019 대한민국 국향대전,대한민국국향대전,60,문화축제
40060,2023-12,150,2019 보정역생활문화센터 <청춘파티  - 특별프로그램>,보정역생활문화센터,170,문화축제
40061,2023-12,889,2019 부평풍물대축제,부평풍물대축제,480,문화축제
40062,2023-12,382,2019 수원연극축제,수원연극축제,130,문화축제
40063,2023-12,365,2019 순천 푸드앤아트 페스티벌,순천푸드앤아트페스티벌,90,문화축제
